threadview_response_info,inline-form2 href,inline-form2,inline-form2 (2),notranslate,threadview_response_body,notranslate (2),threadview_response_body_link href,threadview_response_body_link,notranslate (3),threadview_response_body_link href (2),threadview_response_body_link (2),res_id href,res_id,notranslate (4),js-response,notranslate (5),notranslate (6),notranslate (7),notranslate (8),notranslate (9),notranslate (10),notranslate (11),notranslate (12),notranslate (13),notranslate (14),notranslate (15),notranslate (16),notranslate (17),threadview_response_body_embedlink href,threadview_response_body_thumbnail src,js-ng-setting href,js-response href,notranslate (18),notranslate (19)
"垢版
|
0010 名無しどんぶらこ 2025/11/24(月) 16:52:47.32
0010 匿名 Donburako 2025/11/24（周一）16：52：47.32",https://donguri.5ch.net/,垢版,|,0010 匿名 Donburako 2025/11/24（周一）16：52：47.32,誰か仲介してくれる国もなかったのか   难道没有一个国家会为我调解吗？,难道没有一个国家会为我调解吗？,,,ID：aZGkAZnT0（1/3）,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:aZGkAZnT0(1/3)  ID：aZGkAZnT0（1/3）,,,,,,,,,,,,,,,,,,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/24(月) 16:53:07.78
0011 匿名 Donburako 2025/11/24（周一）16：53：07.78",https://donguri.5ch.net/,垢版,|,0011 匿名 Donburako 2025/11/24（周一）16：53：07.78,">>1
チャイナチキン🐼🇨🇳    中国鸡 🐼🇨🇳",中国鸡 🐼🇨🇳,,>>1,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:oFPLisB90  ID：oFPLisB90,ID：oFPLisB90,,,,,,,,,,,,,,,,,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/24(月) 16:53:21.03
0012 匿名 Donburako 2025/11/24（周一）16：53：21.03",https://donguri.5ch.net/,垢版,|,0012 匿名 Donburako 2025/11/24（周一）16：53：21.03,会食しなかったもんな   我们没吃晚饭,我们没吃晚饭,,,ID：dtS2/XPS0（1/3）,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:dtS2/XPS0(1/3)  ID：dtS2/XPS0（1/3）,,,,,,,,,,,,,,,,,,,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/24(月) 16:53:26.86
0013 匿名 Donburako 2025/11/24（周一）16：53：26.86",https://donguri.5ch.net/,垢版,|,0013 匿名 Donburako 2025/11/24（周一）16：53：26.86,なんだプーさんじゃないのか   什么是维尼？,什么是维尼？,,,ID：RIevHVNl0（2/2）,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:RIevHVNl0(2/2)  ID：RIevHVNl0（2/2）,,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/24(月) 16:53:30.63
0014 匿名 Donburako 2025/11/24（周一）16：53：30.63",https://donguri.5ch.net/,垢版,|,0014 匿名 Donburako 2025/11/24（周一）16：53：30.63,あと50年無くていいわ   我还需要50年才需要。,我还需要50年才需要。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:hOeEoy5B0  ID：hOeEoy5B0,ID：hOeEoy5B0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/24(月) 16:53:39.25
0015 匿名 Donburako 2025/11/24（周一）16：53：39.25",https://donguri.5ch.net/,垢版,|,0015 匿名 Donburako 2025/11/24（周一）16：53：39.25,"高市は他の首脳達からも無視されて食事会からトンズラwww
高一被其他领导忽视，也被排除在晚宴上 www",高一被其他领导忽视，也被排除在晚宴上 www,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:7HotJ+WZ0  编号：7HotJ+WZ0,编号：7HotJ+WZ0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0016 名無しどんぶらこ 2025/11/24(月) 16:54:00.58
0016 匿名 Donburako 2025/11/24（周一）16：54：00.58",https://donguri.5ch.net/,垢版,|,0016 匿名 Donburako 2025/11/24（周一）16：54：00.58,"都合が悪いから逃げてんか？    你是因为不方便才逃跑吗？
台湾は中国だもんな😁    台湾就是中国😁。",你是因为不方便才逃跑吗？,,,台湾就是中国😁。,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:5R202/Go0  编号：5R202/Go0,编号：5R202/Go0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/24(月) 16:54:41.85
0017 匿名 Donburako 2025/11/24（周一）16：54：41.85",https://donguri.5ch.net/,垢版,|,0017 匿名 Donburako 2025/11/24（周一）16：54：41.85,会議遅刻と夕食会欠席で逃げ回ったんだよね   我因为迟到了，错过了晚餐，所以四处奔波,我因为迟到了，错过了晚餐，所以四处奔波,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:DUNB2PPc0  编号：DUNB2PPc0,编号：DUNB2PPc0,2,,,,,,,,,,,,,,,,,,,
"垢版
|
0018 名無しどんぶらこ 2025/11/24(月) 16:54:54.36
0018 匿名 Donburako 2025/11/24（周一）16：54：54.36",https://donguri.5ch.net/,垢版,|,0018 匿名 Donburako 2025/11/24（周一）16：54：54.36,相手から逃げてたの間違いでしょ   我逃避对方是个错误。,我逃避对方是个错误。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:px8Oz1wk0  ID：px8Oz1wk0,ID：px8Oz1wk0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/24(月) 16:55:09.38
0019 匿名 Donburako 2025/11/24（周一）16：55：09.38",https://donguri.5ch.net/,垢版,|,0019 匿名 Donburako 2025/11/24（周一）16：55：09.38,だから言ったろ負けに行くだけだって   所以我才说我会输。,所以我才说我会输。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:OiLO4Ir90  编号：OiLO4Ir90,编号：OiLO4Ir90,,,,,,,,,,,,,,,,,,,,
"垢版
|
0020 名無しどんぶらこ 2025/11/24(月) 16:55:15.31
0020 匿名 Donburako 2025/11/24（周一）16：55：15.31",https://donguri.5ch.net/,垢版,|,0020 匿名 Donburako 2025/11/24（周一）16：55：15.31,会話出来る状況じゃなかったの間違いでしょ   我当时没能好好谈话，是个错误。,我当时没能好好谈话，是个错误。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:aAdtw/5U0  ID：aAdtw/5U0,ID：aAdtw/5U0,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0021 名無しどんぶらこ 2025/11/24(月) 16:55:38.04
0021 匿名 Donburako 2025/11/24（周一）16：55：38.04",https://donguri.5ch.net/,垢版,|,0021 匿名 Donburako 2025/11/24（周一）16：55：38.04,"それでいいんじゃね    没关系
手ぐすね引いてる敵が内外に居るから    因为内外都有敌人在拉伤他们的胫骨。",没关系,,,因为内外都有敌人在拉伤他们的胫骨。,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:38dqe6aJ0  ID：38dqe6aJ0,ID：38dqe6aJ0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0022 名無しどんぶらこ 2025/11/24(月) 16:55:44.01
0022 匿名 Donburako 2025/11/24（周一）16：55：44.01",https://donguri.5ch.net/,垢版,|,0022 匿名 Donburako 2025/11/24（周一）16：55：44.01,嘘が多いなこのおばさん   这个说谎很多的阿姨,这个说谎很多的阿姨,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:3gdPt7i80  编号：3gdPt7i80,编号：3gdPt7i80,,,,,,,,,,,,,,,,,,,,
"垢版
|
0023 名無しどんぶらこ 2025/11/24(月) 16:55:48.75
0023 匿名 Donburako 2025/11/24（周一）16：55：48.75",https://donguri.5ch.net/,垢版,|,0023 匿名 Donburako 2025/11/24（周一）16：55：48.75,えらい   伟大,伟大,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:OwLGqvWk0  ID：OwLGqvWk0,ID：OwLGqvWk0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0024 名無しどんぶらこ 2025/11/24(月) 16:55:49.68
0024 匿名 Donburako 2025/11/24（周一）16：55：49.68",https://donguri.5ch.net/,垢版,|,0024 匿名 Donburako 2025/11/24（周一）16：55：49.68,ほんと何をやらさても駄目だなこの女   我真的无能为力，这个女人,我真的无能为力，这个女人,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:w4qDn9LU0  编号：w4qDn9LU0,编号：w4qDn9LU0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0025 名無しどんぶらこ 2025/11/24(月) 16:55:52.93
0025 匿名 Donburako 2025/11/24（周一）16：55：52.93",https://donguri.5ch.net/,垢版,|,0025 匿名 Donburako 2025/11/24（周一）16：55：52.93,チンポジ野郎に合わせてスケバン姿になってくれ   请穿上骷髅头，和那个男生相配,请穿上骷髅头，和那个男生相配,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:7FwZYNw40  编号：7FwZYNw40,编号：7FwZYNw40,,,,,,,,,,,,,,,,,,,,
"垢版
|
0026 名無しどんぶらこ 2025/11/24(月) 16:56:16.93
0026 匿名 Donburako 2025/11/24（周一）16：56：16.93",https://donguri.5ch.net/,垢版,|,0026 匿名 Donburako 2025/11/24（周一）16：56：16.93,なんの問題もありません   这没什么不对,这没什么不对,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:YrA3JzVo0  ID：YrA3JzVo0,ID：YrA3JzVo0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/24(月) 16:56:29.25
0027 匿名 Donburako 2025/11/24（周一）16：56：29.25",https://donguri.5ch.net/,垢版,|,0027 匿名 Donburako 2025/11/24（周一）16：56：29.25,遅刻しなきゃ会えたのでは   我想如果我没迟到，应该能见面。,我想如果我没迟到，应该能见面。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:hovrfXE30  编号：hovrfXE30,编号：hovrfXE30,,,,,,,,,,,,,,,,,,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/24(月) 16:56:35.93
0028 匿名 Donburako 2025/11/24（周一）16：56：35.93",https://donguri.5ch.net/,垢版,|,0028 匿名 Donburako 2025/11/24（周一）16：56：35.93,">>20
世界中が仲間てネトウヨ言うてたやんか間に入る仲間いなかったの？
你说的是遍布世界各地的朋友吗？",你说的是遍布世界各地的朋友吗？,,>>20,ID：aZGkAZnT0（2/3）,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:aZGkAZnT0(2/3)  ID：aZGkAZnT0（2/3）,,,,,,,,,,,,,,,,,,,,,
"垢版
|
0029 名無しどんぶらこ 2025/11/24(月) 16:56:36.80
0029 匿名 Donburako 2025/11/24（周一）16：56：36.80",https://donguri.5ch.net/,垢版,|,0029 匿名 Donburako 2025/11/24（周一）16：56：36.80,遠くから毎日吠えるだけで直接は嫌がる中国   中国每天只是远距离吠叫，而且不喜欢直接吠叫。,中国每天只是远距离吠叫，而且不喜欢直接吠叫。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:wu1LcqnL0  ID：wu1LcqnL0,ID：wu1LcqnL0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0030 名無しどんぶらこ 2025/11/24(月) 16:57:03.72
0030 匿名 Donburako 2025/11/24（周一）16：57：03.72",https://donguri.5ch.net/,垢版,|,0030 匿名 Donburako 2025/11/24（周一）16：57：03.72,今の時代に合った保守かと思ったら壺ウヨでしたな   我觉得这很符合当代的保守派风格，但它确实是个大锅,我觉得这很符合当代的保守派风格，但它确实是个大锅,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:lnzklgWg0  ID：lnzklgWg0,ID：lnzklgWg0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/24(月) 16:57:22.06
0031 匿名 Donburako 2025/11/24（周一）16：57：22.06",https://donguri.5ch.net/,垢版,|,0031 匿名 Donburako 2025/11/24（周一）16：57：22.06,"無視でいい    忽略它没关系
話を聞くのは中国が謝罪してから    中国道歉后我会听这个故事
ただしポケットに手を突っ込んで    但把手放进口袋",忽略它没关系,,,中国道歉后我会听这个故事,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:pv9nOpju0  ID：pv9nOpju0,ID：pv9nOpju0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/24(月) 16:57:36.46
0032 匿名 Donburako 2025/11/24（周一）16：57：36.46",https://donguri.5ch.net/,垢版,|,0032 匿名 Donburako 2025/11/24（周一）16：57：36.46,こいつ、ヒトのせいにするの上手いな   这家伙很会怪别人,这家伙很会怪别人,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:QJq3a3oH0  ID：QJq3a3oH0,ID：QJq3a3oH0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/24(月) 16:57:58.58
0033 匿名 Donburako 2025/11/24（周一）16：57：58.58",https://donguri.5ch.net/,垢版,|,0033 匿名 Donburako 2025/11/24（周一）16：57：58.58,">>17
日本のメディアはそこにふれないし優しいよな    日本媒体不碰它，而且很友善。",日本媒体不碰它，而且很友善。,,>>17,ID：aZGkAZnT0（3/3）,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:aZGkAZnT0(3/3)  ID：aZGkAZnT0（3/3）,,,,,,,,,,,,,,,,,,,,,
"垢版
|
0034 名無しどんぶらこ 2025/11/24(月) 16:58:14.71
0034 匿名 Donburako 2025/11/24（周一）16：58：14.71",https://donguri.5ch.net/,垢版,|,0034 匿名 Donburako 2025/11/24（周一）16：58：14.71,"中国がわが国と国交のない台湾と紛争を    中国与台湾存在冲突，台湾与日本没有外交关系
起こせば、それこそが    如果你醒了，那就是它。

【日本の存立危機事態＝日本の武力行使事態】    【日本的生存危机=日本的武力使用】

なのです。    是的。

この馬鹿　誰？    这笨蛋是谁？

高市早苗ｗｗｗｗ   高市早苗 wwww

「一つの中国」で検索」    搜索“一个中国”
。。。。

【日本の存立危機事態＝日本の武力行使事態】    【日本的生存危机=日本的武力使用】
は中国から見れば米軍の攻撃を意味するのだ。    从中国的角度来看，意味着美军发动攻击。

中国の反発は当然であり長期化する。    中国的反弹是自然且持久的。
・中国は日本産水産物の輸入を停止した。    ·中国已停止进口日本产海鲜。
・中国は日本産牛肉の輸入再開協議も中止した。    ·中国也取消了恢复进口日本牛肉的谈判。
・中国はレアアースの輸出を規制した。    ·中国限制了稀土的出口。

日本は高市のせいで国益を損なった。    日本因高市而损害了国家利益。
無教養＝野蛮人が。    无知=野蛮。
高市早苗は女なら責任を取れ。    高市早苗是个女人，要负责任。",中国与台湾存在冲突，台湾与日本没有外交关系,,,如果你醒了，那就是它。,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:PNqpH3TA0(1/11)  编号：PNqpH3TA0（1/11）,编号：PNqpH3TA0（1/11）,,是的。,这笨蛋是谁？,高市早苗 wwww,搜索“一个中国”,【日本的生存危机=日本的武力使用】,从中国的角度来看，意味着美军发动攻击。,中国的反弹是自然且持久的。,·中国已停止进口日本产海鲜。,·中国也取消了恢复进口日本牛肉的谈判。,·中国限制了稀土的出口。,日本因高市而损害了国家利益。,无知=野蛮。,高市早苗是个女人，要负责任。,,,,,,
"垢版
|
0035 名無しどんぶらこ 2025/11/24(月) 16:58:32.60
0035 匿名 Donburako 2025/11/24（周一）16：58：32.60",https://donguri.5ch.net/,垢版,|,0035 匿名 Donburako 2025/11/24（周一）16：58：32.60,"勝手にキレる愚鈍は相手にしないのが一番効くからなw掲示板の荒らしと一緒
最好不要去处理那些自己变得尖锐的愚蠢行为，因为这和公告板上的破坏是一样的。",最好不要去处理那些自己变得尖锐的愚蠢行为，因为这和公告板上的破坏是一样的。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:sLS/1Z+N0  ID：sLS/1Z+N0,ID：sLS/1Z+N0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0036 名無しどんぶらこ 2025/11/24(月) 16:59:04.13
0036 匿名 Donburako 2025/11/24（周一）16：59：04.13",https://donguri.5ch.net/,垢版,|,0036 匿名 Donburako 2025/11/24（周一）16：59：04.13,"「会話する気なかった」ということですねわかります
我理解你的意思是“我不想说话”",我理解你的意思是“我不想说话”,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:lJ5E5HKf0  编号：lJ5E5HKf0,编号：lJ5E5HKf0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0037 名無しどんぶらこ 2025/11/24(月) 16:59:08.44
0037 匿名 Donburako 2025/11/24（周一）16：59：08.44",https://donguri.5ch.net/,垢版,|,0037 匿名 Donburako 2025/11/24（周一）16：59：08.44,,,https://pbs.twimg.com/media/FktsgBwaEAAZrN6.jpg,https://pbs.twimg.co.../FktsgBwaEAAZrN6.jpg,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:uoPdolSh0  ID：uoPdolSh0,ID：uoPdolSh0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0038 名無しどんぶらこ 2025/11/24(月) 16:59:31.59
0038 匿名 Donburako 2025/11/24（周一）16：59：31.59",https://donguri.5ch.net/,垢版,|,0038 匿名 Donburako 2025/11/24（周一）16：59：31.59,謝らずにオープンだ言うのが一番嫌われる   我最讨厌说自己敞开心扉却不道歉。,我最讨厌说自己敞开心扉却不道歉。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:JwmwhrhU0  编号：JwmwhrhU0,编号：JwmwhrhU0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0039 名無しどんぶらこ 2025/11/24(月) 16:59:32.95
0039 匿名 Donburako 2025/11/24（周一）16：59：32.95",https://donguri.5ch.net/,垢版,|,0039 匿名 Donburako 2025/11/24（周一）16：59：32.95,遅刻して⏰をずらすざます   我迟到了，我⏰会迟到。,我迟到了，我⏰会迟到。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:hKAStO740  编号：hKAStO740,编号：hKAStO740,,,,,,,,,,,,,,,,,,,,
"垢版
|
0040 名無しどんぶらこ 2025/11/24(月) 16:59:55.92
0040 匿名 Donburako 2025/11/24（周一）16：59：55.92",https://donguri.5ch.net/,垢版,|,0040 匿名 Donburako 2025/11/24（周一）16：59：55.92,"2人でハグでもしてぴょんぴょんでもしようもんなら高市は大丈夫だけど中国代表は殺されかねない
如果两人拥抱并试图四处走动，高市会没事，但中国代表可能会被杀。",如果两人拥抱并试图四处走动，高市会没事，但中国代表可能会被杀。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:6TUT0dNa0  编号：6TUT0dNa0,编号：6TUT0dNa0,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0041 名無しどんぶらこ 2025/11/24(月) 16:59:57.66
0041 匿名 Donburako 2025/11/24（周一）16：59：57.66",https://donguri.5ch.net/,垢版,|,0041 匿名 Donburako 2025/11/24（周一）16：59：57.66,良いよほっとけばシナチョン両国なら   如果是中国人和一个国家，那就好,如果是中国人和一个国家，那就好,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:4x5YnLeD0  ID：4x5YnLeD0,ID：4x5YnLeD0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0042 名無しどんぶらこ 2025/11/24(月) 16:59:59.44
0042 匿名 Donburako 2025/11/24（周一）16：59：59.44",https://donguri.5ch.net/,垢版,|,0042 匿名 Donburako 2025/11/24（周一）16：59：59.44,キンペーじゃないと意味ねーだろ   如果不是金平，那就没意义。,如果不是金平，那就没意义。,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:Ka2/WjDT0  编号：Ka2/WjDT0,编号：Ka2/WjDT0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0043 名無しどんぶらこ 2025/11/24(月) 17:00:14.39
0043 匿名 Donburako 2025/11/24（周一）17：00：14.39",https://donguri.5ch.net/,垢版,|,0043 匿名 Donburako 2025/11/24（周一）17：00：14.39,"俺はこの高市さんを評価・支持するよ    我会评估并支持这位高市先生。
馬鹿なんだから余計な会話すべきじゃない    我是个傻瓜，所以不应该进行不必要的对话。
流石高市さん！！    果然，高市先生！！",我会评估并支持这位高市先生。,,,我是个傻瓜，所以不应该进行不必要的对话。,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763970662#,ID:2NVz9Jyn0  ID：2NVz9Jyn0,ID：2NVz9Jyn0,,果然，高市先生！！,,,,,,,,,,,,,,,,,,
