threadview_response_info,inline-form2 href,inline-form2,inline-form2 (2),notranslate,threadview_response_body,notranslate (2),notranslate (3),notranslate (4),notranslate (5),notranslate (6),notranslate (7),threadview_response_body_link href,threadview_response_body_link,highlight,res_id href,res_id,notranslate (8),js-response,notranslate (9),notranslate (10),notranslate (11),threadview_response_body_link (2),js-ng-setting href,js-response href,threadview_response_body_link href (2),notranslate (12),notranslate (13),notranslate (14),notranslate (15),notranslate (16),notranslate (17),notranslate (18),notranslate (19),notranslate (20),notranslate (21),notranslate (22),notranslate (23)
"垢版
|
0010 名無しどんぶらこ 2025/11/23(日) 22:42:08.35
0010 匿名 Donburako 2025/11/23（周日）22：42：08.35",https://donguri.5ch.net/,垢版,|,0010 匿名 Donburako 2025/11/23（周日）22：42：08.35,オーストラリアの共産党バイトか   这是澳大利亚共产党的兼职工作吗？,这是澳大利亚共产党的兼职工作吗？,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:C6IuLKgF0  编号：C6IuLKgF0,编号：C6IuLKgF0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/23(日) 22:42:17.35
0011 匿名 Donburako 2025/11/23（周日）22：42：17.35",https://donguri.5ch.net/,垢版,|,0011 匿名 Donburako 2025/11/23（周日）22：42：17.35,"今オーストラリアが中国人だらけって知ってるよね
你知道澳大利亚现在有很多中国人。
つまりそういうことだよ    这就是它的含义。",你知道澳大利亚现在有很多中国人。,这就是它的含义。,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:1pj+/KBS0  ID：1pj+/KBS0,ID：1pj+/KBS0,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/23(日) 22:42:42.47
0012 匿名 Donburako 2025/11/23（周日）22：42：42.47",https://donguri.5ch.net/,垢版,|,0012 匿名 Donburako 2025/11/23（周日）22：42：42.47,無益高市   无益高市,无益高市,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:aaGvatBl0  编号：aaGvatBl0,编号：aaGvatBl0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/23(日) 22:42:57.76
0013 匿名 Donburako 2025/11/23（周日）22：42：57.76",https://donguri.5ch.net/,垢版,|,0013 匿名 Donburako 2025/11/23（周日）22：42：57.76,要するにオーストラリアの立憲みたいなもんだろ   简而言之，它就像澳大利亚的宪法。,简而言之，它就像澳大利亚的宪法。,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:DM3GrG2z0  编号：DM3GrG2z0,编号：DM3GrG2z0,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/23(日) 22:42:59.61
0014 匿名 Donburako 2025/11/23（周日）22：42：59.61",https://donguri.5ch.net/,垢版,|,0014 匿名 Donburako 2025/11/23（周日）22：42：59.61,">>3
委員長とか書記長とかに就いたやつが威張るのはマルキストだけだからな
唯一担任过主席或将军的只有马克思主义者",唯一担任过主席或将军的只有马克思主义者,,,,,,,>>3,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:S1QGK1570  ID：S1QGK1570,ID：S1QGK1570,,,,,,,,,,,,,,,,,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/23(日) 22:43:08.18
0015 匿名 Donburako 2025/11/23（周日）22：43：08.18",https://donguri.5ch.net/,垢版,|,0015 匿名 Donburako 2025/11/23（周日）22：43：08.18,新華社て   新华社,新华社,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:Zj+ESoOD0  ID：Zj+ESoOD0,ID：Zj+ESoOD0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0016 名無しどんぶらこ 2025/11/23(日) 22:43:15.46
0016 匿名 Donburako 2025/11/23（周日）22：43：15.46",https://donguri.5ch.net/,垢版,|,0016 匿名 Donburako 2025/11/23（周日）22：43：15.46,"何だ中国に取り込まれた人か    中国收留了什么样的人？
市民とか委員長とかいかにもだな    这不像公民或董事长",中国收留了什么样的人？,这不像公民或董事长,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:DSVHcxPD0  编号：DSVHcxPD0,编号：DSVHcxPD0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/23(日) 22:43:24.23
0017 匿名 Donburako 2025/11/23（周日）22：43：24.23",https://donguri.5ch.net/,垢版,|,0017 匿名 Donburako 2025/11/23（周日）22：43：24.23,">市民党

シミンの皮を被ったあれ    那个穿着西敏皮肤的人",那个穿着西敏皮肤的人,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:Gnz1uI6s0  ID：Gnz1uI6s0,ID：Gnz1uI6s0,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0018 名無しどんぶらこ 2025/11/23(日) 22:43:25.87
0018 匿名 Donburako 2025/11/23（周日）22：43：25.87",https://donguri.5ch.net/,垢版,|,0018 匿名 Donburako 2025/11/23（周日）22：43：25.87,"中国と朝鮮？    中国和韩国？
歴史を勉強してこい    学习历史",中国和韩国？,学习历史,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:k29li2VO0  编号：k29li2VO0,编号：k29li2VO0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/23(日) 22:43:48.53
0019 匿名 Donburako 2025/11/23（周日）22：43：48.53",https://donguri.5ch.net/,垢版,|,0019 匿名 Donburako 2025/11/23（周日）22：43：48.53,"オーストラリア連邦議席の内訳見ても    即使你看看澳大利亚联邦席位的分布
上下院ともにそんな政党の議席はねーんだが    众议院和参议院均无此类政党席位。",即使你看看澳大利亚联邦席位的分布,众议院和参议院均无此类政党席位。,ID：P9pxy5fs0（1/7）,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:P9pxy5fs0(1/7)  ID：P9pxy5fs0（1/7）,,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0020 名無しどんぶらこ 2025/11/23(日) 22:44:20.36
0020 匿名 Donburako 2025/11/23（周日）22：44：20.36",https://donguri.5ch.net/,垢版,|,0020 匿名 Donburako 2025/11/23（周日）22：44：20.36,オーストラリアの立憲共産党w   澳大利亚宪政共产党 w,澳大利亚宪政共产党 w,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:CkRRb3YG0  编号：CkRRb3YG0,编号：CkRRb3YG0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0021 名無しどんぶらこ 2025/11/23(日) 22:44:43.69
0021 匿名 Donburako 2025/11/23（周日）22：44：43.69",https://donguri.5ch.net/,垢版,|,0021 匿名 Donburako 2025/11/23（周日）22：44：43.69,"オーストラリア市民党（Australian Citizens Party、略称ACP）は、
澳大利亚公民党（ACP）是
現在、オーストラリア連邦議会（下院または上院）に議席を持っていません。
目前，它在澳大利亚联邦议会（下议院或参议院）没有议席。
同党は連邦議会選挙に長年候補者を擁立してきましたが、
多年来，该党一直为联邦议院选举推举候选人，
主要政党や他の有力な少数政党（労働党、自由党・国民党連立、緑の党、ワン・ネイションなど）と比較して獲得票数が少なく、
与主要政党及其他主要少数党（工党、自由-国家党联盟、绿党、一国党等）相比，获得的选票数较少，
議席獲得には至っていません。    我还没有赢得任何席位。


こんなゴミ政党の発言を記事にするな    别写关于这样一个垃圾政党言论的文章",澳大利亚公民党（ACP）是,目前，它在澳大利亚联邦议会（下议院或参议院）没有议席。,多年来，该党一直为联邦议院选举推举候选人，,与主要政党及其他主要少数党（工党、自由-国家党联盟、绿党、一国党等）相比，获得的选票数较少，,我还没有赢得任何席位。,别写关于这样一个垃圾政党言论的文章,,,9,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:Z4QrNvnE0  ID：Z4QrNvnE0,ID：Z4QrNvnE0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0022 名無しどんぶらこ 2025/11/23(日) 22:44:51.33
0022 匿名 Donburako 2025/11/23（周日）22：44：51.33",https://donguri.5ch.net/,垢版,|,0022 匿名 Donburako 2025/11/23（周日）22：44：51.33,">>13
ソコまで大きくなさそう    看起来并不算大到要点
日本での「全国〇〇委員会」とかで共産党しか入ってないやつとかと同レベルっぽい
它似乎与日本的“全国二十委员会”处于同一层次，后者只包括共产党。",看起来并不算大到要点,它似乎与日本的“全国二十委员会”处于同一层次，后者只包括共产党。,,,,,,>>13,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:EtWJNHSS0  编号：EtWJNHSS0,编号：EtWJNHSS0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0023 名無しどんぶらこ 2025/11/23(日) 22:45:13.31
0023 匿名 Donburako 2025/11/23（周日）22：45：13.31",https://donguri.5ch.net/,垢版,|,0023 匿名 Donburako 2025/11/23（周日）22：45：13.31,">>19
痛くもかゆくもねえな    它不疼也不痒
新華社はこれで日本を揺さぶったつもりなんだろうか
我想知道新华社是否打算用这事震撼日本。",它不疼也不痒,我想知道新华社是否打算用这事震撼日本。,,,,,,>>19,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:3WKl7FsT0  编号：3WKl7FsT0,编号：3WKl7FsT0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0024 名無しどんぶらこ 2025/11/23(日) 22:45:26.89
0024 匿名 Donburako 2025/11/23（周日）22：45：26.89",https://donguri.5ch.net/,垢版,|,0024 匿名 Donburako 2025/11/23（周日）22：45：26.89,"どこの誰かも知らない味方探してきて中国も大変だな
中国很难找到一个不认识任何人的盟友。",中国很难找到一个不认识任何人的盟友。,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:XehXuBak0  编号：XehXuBak0,编号：XehXuBak0,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0025 名無しどんぶらこ 2025/11/23(日) 22:45:34.88
0025 匿名 Donburako 2025/11/23（周日）22：45：34.88",https://donguri.5ch.net/,垢版,|,0025 匿名 Donburako 2025/11/23（周日）22：45：34.88,">>1
”高市首相は「（台湾有事が）戦艦を使って、武力の行使を伴うものであれば、これは“どう考えても”存立危機事態になりうるケース」と答弁した。“
高市首相回应道：“如果（台湾紧急事件）涉及战列舰和武力的使用，无论怎么看，这都可能是一场生存危机。” “
news.yahoo.co.jp/articles/45d9f145585e051b1d620c815694deb1a83a68c1

高市さんはいままでの首相のようにちゃんと主語をぼやかして回答していて明言は避けていたんだよね。
高市先生用模糊的话题回答，和首相一样，避免发表明确声明。

岡田さんが台湾だと言っただけで。    冈田先生刚才说是台湾。

「支持率下げてやる」ために台湾と絡めてしつこく質問した岡田さんと
冈田先生则不断就台湾问题提问，目的是“降低支持率”，
「支持率下げてやる」ために岡田さんの台湾発言を高市さんの言葉に加えたマスコミが
为了“降低支持率”，媒体在高市的话语中加入了冈田先生的台湾言论。

このただの国会質疑を国際問題化させたんだよ。    这个仅仅是议会问题，已经演变成一个国际问题。",高市首相回应道：“如果（台湾紧急事件）涉及战列舰和武力的使用，无论怎么看，这都可能是一场生存危机。” “,高市先生用模糊的话题回答，和首相一样，避免发表明确声明。,冈田先生则不断就台湾问题提问，目的是“降低支持率”，,为了“降低支持率”，媒体在高市的话语中加入了冈田先生的台湾言论。,冈田先生刚才说是台湾。,这个仅仅是议会问题，已经演变成一个国际问题。,,>>1,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:5MWeYxuj0  ID：5MWeYxuj0,ID：5MWeYxuj0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0026 名無しどんぶらこ 2025/11/23(日) 22:45:42.34
0026 匿名 Donburako 2025/11/23（周日）22：45：42.34",https://donguri.5ch.net/,垢版,|,0026 匿名 Donburako 2025/11/23（周日）22：45：42.34,">>1
新華社シドニーｗ    新华社 悉尼",新华社 悉尼,,,,,,,>>1,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:pHocDxib0  ID：pHocDxib0,ID：pHocDxib0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/23(日) 22:45:46.04
0027 匿名 Donburako 2025/11/23（周日）22：45：46.04",https://donguri.5ch.net/,垢版,|,0027 匿名 Donburako 2025/11/23（周日）22：45：46.04,">>1
どこにでもいるんだよ    无处不在
こういう金に目が眩んで中国を代弁するようなカスがw
有个渣滓被这种钱迷惑，代表中国。",无处不在,有个渣滓被这种钱迷惑，代表中国。,ID：yEEh21cW0（1/2）,,,,,>>1,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:yEEh21cW0(1/2)  ID：yEEh21cW0（1/2）,,,,,,,,,,,,,,,,,,,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/23(日) 22:45:48.50
0028 匿名 Donburako 2025/11/23（周日）22：45：48.50",https://donguri.5ch.net/,垢版,|,0028 匿名 Donburako 2025/11/23（周日）22：45：48.50,パヨクだろ？ｗ   是 Payok，对吧？ ｗ,是 Payok，对吧？ ｗ,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:mnRtpS6m0  ID：mnRtpS6m0,ID：mnRtpS6m0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0029 名無しどんぶらこ 2025/11/23(日) 22:46:07.79
0029 匿名 Donburako 2025/11/23（周日）22：46：07.79",https://donguri.5ch.net/,垢版,|,0029 匿名 Donburako 2025/11/23（周日）22：46：07.79,"【外交】オーストコリア市民党全国委員長「高市首相の発言は極めて破壊的」 [１ゲットロボ★]
[外交] 韩国公民党全国主席：“高市首相的言论极具破坏性” [1 Get Robo ★]
高市首相、G20で中国念頭に「レアアースを特定国に頼らずアフリカ
高市首相在 G20 谈及中国：“非洲并不依赖特定国家来获取稀土资源
レアアースの精錬とか中国以外じゃ環境汚染ヤバすぎて無理なんだよな
稀土精炼及除中国外的环境污染环境太危险。
南アフリカはすでに今回の件で中国支持を表明してるというのに
南非已在此案中表达了对中国的支持。
アフリカの鉱物資源利権なんてレスのscrネトウヨ「JICAァーーっ！海外バラマキ辞めろォゥォオオオーッ！！！JICA解体しろぉーーっ！」 [271912485]
非洲矿产资源特许经营权同样重要，“JICA！”停止海外的巴拉马基！！ 拆除 JICA！” [271912485]
、維新・藤田共同代表に続き…高木かおり総務会長も秘書への""公金還流""発覚で批判の声相次ぐ《「ここ
，继维新与藤田共同代表之后...... 总务委员会主席高木香织也批评了“公款返还”的发现。
高市早苗、G20会場で浮いてしまう 上目遣いで他国首脳にアピールするも効果ゼロ [16598167海外駐在ツイッタラーが続々帰国してるらしいけどなんでなんやろなあ、もしかして最近急に高市絶賛が減ったのって...
高市早苗在 G20 会场漂浮 尽管他用抬头的目光吸引其他国家领导人，但效果为零【16598167 似乎海外推特用户一个接一个回到日本，但我很好奇为什么，也许高市的好评最近突然下降了......
安倍昭恵はなぜかアメリカ版アプリ    不知为何，Akie Abe 是美国版的应用
米政府、10月消費者物価指数を公表見送り　FRB、最新値なく判断へ
美国政府推迟发布10月份的美联储消费者价格指数，以便在没有最新数据的情况下做出决定
吉本芸人ほっしゃん、遂にほんこんはんを批判。「腐った犬笛」 [523957489
吉本喜剧演员星山，终于批评了本乡罕。 “烂狗哨”[523957489",[外交] 韩国公民党全国主席：“高市首相的言论极具破坏性” [1 Get Robo ★],高市首相在 G20 谈及中国：“非洲并不依赖特定国家来获取稀土资源,稀土精炼及除中国外的环境污染环境太危险。,南非已在此案中表达了对中国的支持。,非洲矿产资源特许经营权同样重要，“JICA！”停止海外的巴拉马基！！ 拆除 JICA！” [271912485],，继维新与藤田共同代表之后...... 总务委员会主席高木香织也批评了“公款返还”的发现。,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:+HtV14uG0  ID：+HtV14uG0,ID：+HtV14uG0,,不知为何，Akie Abe 是美国版的应用,美国政府推迟发布10月份的美联储消费者价格指数，以便在没有最新数据的情况下做出决定,吉本喜剧演员星山，终于批评了本乡罕。 “烂狗哨”[523957489,,,,,,,,,,,,,,,,
"垢版
|
0030 名無しどんぶらこ 2025/11/23(日) 22:46:18.47
0030 匿名 Donburako 2025/11/23（周日）22：46：18.47",https://donguri.5ch.net/,垢版,|,0030 匿名 Donburako 2025/11/23（周日）22：46：18.47,破壊的＝褒め言葉   破坏性 = 赞美,破坏性 = 赞美,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:vKouxu4I0  ID：vKouxu4I0,ID：vKouxu4I0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/23(日) 22:46:21.06
0031 匿名 Donburako 2025/11/23（周日）22：46：21.06",https://donguri.5ch.net/,垢版,|,0031 匿名 Donburako 2025/11/23（周日）22：46：21.06,議席ゼロに賛同させて新華社は恥ずかしくないの？   新华社难道不觉得羞于同意零席位吗？,新华社难道不觉得羞于同意零席位吗？,,ID：P9pxy5fs0（2/7）,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:P9pxy5fs0(2/7)  ID：P9pxy5fs0（2/7）,,,,,,,,,,,,,,,,,,,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/23(日) 22:46:34.48
0032 匿名 Donburako 2025/11/23（周日）22：46：34.48",https://donguri.5ch.net/,垢版,|,0032 匿名 Donburako 2025/11/23（周日）22：46：34.48,"ヤバいな、豪州のバーウィック委員長を怒らせちゃったよ
很危险，我惹怒了伯威克的澳大利亚董事长。",很危险，我惹怒了伯威克的澳大利亚董事长。,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:tJLYpu5h0  编号：tJLYpu5h0,编号：tJLYpu5h0,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/23(日) 22:46:48.17
0033 匿名 Donburako 2025/11/23（星期日）22：46：48.17",https://donguri.5ch.net/,垢版,|,0033 匿名 Donburako 2025/11/23（星期日）22：46：48.17,市民党（笑）,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:NjVLLwhE0  ID：NjVLLwhE0,ID：NjVLLwhE0,,,,,,,,,,,,,,,,,,,,
