threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),threadview_response_body_link href (2),js-ng-setting href,js-response href,threadview_response_body_link (4)
"垢版
|
0029 名無しどんぶらこ 2025/11/28(金) 09:12:57.60","日本「一貫してると閣議決定した！」

世界「…？」

日本「閣議決定！😡」",,,,ID:fQjHadAO0,,,,,,
"垢版
|
0030 名無しどんぶらこ 2025/11/28(金) 09:13:01.92",チャイナが実際にSNS工作してたのバレちゃったからねぇ,,,,ID:dyeQ/9Wl0,,,,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/28(金) 09:13:09.64",野田には心底ウンザリだわ,,,,ID:R95gjqVM0,,,,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/28(金) 09:13:11.02","どういった内容で一貫してて高市発言と同じなのか違うのかを明言せず
立憲がーって言ってるだけか",,,,ID:KZGTygfz0,1,,,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/28(金) 09:13:11.97",後ろから狙撃する石破にも離党勧告してあげて,,,,ID:BxnrB3Ei0,,,,,,
"垢版
|
0034 名無しどんぶらこ 2025/11/28(金) 09:13:23.31",もうこうなったんだから曖昧にしなくて良くなったね、スッキリしていいじゃん,,,,ID:3bCGpT//0(2/7),,,,,,
"垢版
|
0035 名無しどんぶらこ 2025/11/28(金) 09:13:37.21","自民党は中国を仮想敵にしてバカを仲間に引き入れようとするよね
大企業と富裕層しか仲間だと思ってないくせに",,,,ID:yoYG52ft0(4/6),,,,,,
"垢版
|
0036 名無しどんぶらこ 2025/11/28(金) 09:13:45.32","それならいつも通り条文読んどけば良かったよね
なぜ個別の案件に持論展開するのか
官僚の質落ちすぎだよ",,,,ID:79IS6kEl0(1/2),,,,,,
"垢版
|
0037 名無しどんぶらこ 2025/11/28(金) 09:13:50.13",余計なことしなくていいから消費税廃止してよ,,,,ID:yoYG52ft0(5/6),,,,,,
"垢版
|
0038 名無しどんぶらこ 2025/11/28(金) 09:14:04.64","自民党は中国を仮想敵にしてバカを仲間に引き入れようとするよね
大企業と富裕層しか仲間だと思ってないくせに",,,,ID:yoYG52ft0(6/6),,,,,,
"垢版
|
0039 名無しどんぶらこ 2025/11/28(金) 09:14:22.64",中共の主張に同調する人って、あり得る、は総合的に判断する、のなかに含まれないと思っているのかな,,,,ID:izgKLbuF0(1/2),,,,,,
"垢版
|
0040 名無しどんぶらこ 2025/11/28(金) 09:14:24.57",">>1
自民党「サナは悪く無い！閣議決定で発言撤回したけど撤回してない！」
s://i.imgur.com/6jbTbLu.png
はい閣議決定も無駄になりましたと

バカすぎるだろ",,>>1,,ID:cpIE0x5z0(1/21),,,,,,
"垢版
|
0041 名無しどんぶらこ 2025/11/28(金) 09:14:31.26","実際は撤回しても
岡田が台湾ｶﾞｰ言って、高市が軍艦ｶﾞｰ言った以前に戻るってことだから
何も変わらんけど
他国に言われて屈したって形になるのは主権国家としてはあり得ない",,,,ID:90R4QpSi0,,,,,,
"垢版
|
0042 名無しどんぶらこ 2025/11/28(金) 09:14:47.41",">>1
朝日新聞も毎日新聞も大ウソのデマフェイクだらけだもんなぁ
悪辣な侵略国家中共ヤクザと一緒",,>>1,,ID:MN28it600,1,,,,,
"垢版
|
0043 名無しどんぶらこ 2025/11/28(金) 09:14:47.46",">>11
じゃあ一言一句違わずもう一度同じこと言えよ",,>>11,,ID:cpIE0x5z0(2/21),,,,,,
"垢版
|
0044 名無しどんぶらこ 2025/11/28(金) 09:14:53.63",ついに自民党広報がソースでスレが立つようになったのかよw,,,,ID:3LkGAKP50,1,,,,,
"垢版
|
0045 名無しどんぶらこ 2025/11/28(金) 09:15:06.26",">>1
馬鹿トランプが余計なことするから
余計に中国が調子に乗ってるじゃねーかボケ",,>>1,,ID:+Vqk1fdB0,,,,,,
"垢版
|
0046 捏造WSJ.共同、朝日 2025/11/28(金) 09:15:08.26","岡田克也の

イオン

中国で不買してやれよ",,,,ID:CA7bt7tn0(1/3),2,,,,,
"垢版
|
0047 名無しどんぶらこ 2025/11/28(金) 09:15:14.22",">>32
有事になったらアメリカの支援しますって事やろ
中国が侵攻しなきゃ攻撃はしないってのは一貫してるよ",,>>32,,ID:3bCGpT//0(3/7),,,,,,
"垢版
|
0048 名無しどんぶらこ 2025/11/28(金) 09:15:21.83","高市の今回の発言が抑止力になったね。
でも深く踏み込んでない微妙なところで。",,,,ID:s1cjEhuk0(2/7),1,,,,,
"垢版
|
0049 名無しどんぶらこ 2025/11/28(金) 09:15:22.54","日本の不利なとこは獅子身中の虫が多いってことなんだよ。中共の味方しない中国メディアはいないわけだし
言論の自由がある国の宿命とは言え多いね。国旗損壊だのスパイ防止法だので普通はそこまで反対ないってｗ",,,,ID:9Lcq/jnR0(1/3),,,,,,
"垢版
|
0050 名無しどんぶらこ 2025/11/28(金) 09:15:22.71",">>42
オールドメディアは捏造報道！
https://i.imgur.com/hLkE6vI.jpeg


↓
ネトウヨ御用達一流洗脳ニュースソースがこちら！
News Everyday
News Sharing
Share News Japan
Total News World
JAPAN NEWS NAVI
拡散新聞(旧アノニマスポスト)
ツイッター速報（ツイ速）
大紀元（法輪功）
虎⚫︎門ニュース
Hanada
WiLL
正論",https://i.imgur.com/hLkE6vI.jpeg,>>42,,ID:cpIE0x5z0(3/21),,https://i.imgur.com/hLkE6vI.jpeg,,,,
"垢版
|
0051 名無しどんぶらこ 2025/11/28(金) 09:15:29.38","自民党「うちの早苗ちゃんの勇み足ですわw許したってや！」

こうですか？",,,,ID:lSTDFCYx0(2/2),,,,,,
"垢版
|
0052 名無しどんぶらこ 2025/11/28(金) 09:15:36.99",【国益】とは？自民党は経済的利益は国益ではない、とでも言いたいのか？😆笑,,,,ID:stY/NBb40(1/2),,,,,,
"垢版
|
0053 名無しどんぶらこ 2025/11/28(金) 09:15:37.47",">>46
開店セール、賑わったらしいよw",,>>46,,ID:izgKLbuF0(2/2),,,,,,
"垢版
|
0054 名無しどんぶらこ 2025/11/28(金) 09:15:45.89",一貫してるだろ,,,,ID:rz7kEy4Q0,,,,,,
"垢版
|
0055 名無しどんぶらこ 2025/11/28(金) 09:15:48.88","中東→トランプを平和賞に推薦し喧嘩を売る
マレーシア→加害の歴史を無視して喧嘩を売る
中国→台湾問題で喧嘩を売る
ロシア→終戦付近のG20で急に喧嘩を売る
アメリカ→中露対応でうまくいきかけてたところを引っ掻き回すことで喧嘩を売る
高市は資源国に喧嘩を売らないと死ぬ病気かなんかなの？",,,,ID:zDFTVHx60(1/3),2,,,,,
"垢版
|
0056 名無しどんぶらこ 2025/11/28(金) 09:15:54.97","一貫している日本政府の立場
何も変わってないのに窮地みたいになってる
崩れる日本だな",,,,ID:9ObIDAu+0(1/3),,,,,,
"垢版
|
0057 名無しどんぶらこ 2025/11/28(金) 09:16:42.56",何いってんだ,,,,ID:RjazLz/q0,,,,,,
"垢版
|
0058 名無しどんぶらこ 2025/11/28(金) 09:16:42.71",デッデーン、高市アウトー！ｗｗｗ,,,,ID:7psr8/Ts0,,,,,,
"垢版
|
0059 名無しどんぶらこ 2025/11/28(金) 09:16:44.38",">>48
そう思う
だからあれだけ怒ってるんだわw",,>>48,,ID:3bCGpT//0(4/7),,,,,,
"垢版
|
0060 名無しどんぶらこ 2025/11/28(金) 09:16:54.54","湖南省２号店「イオンモール長沙湘江新区」１１月２７日（木）グランドオープン！だってよ。
これで岡田の質問の意味わからない人はバカ。",,,,ID:s1cjEhuk0(3/7),,,,,,
"垢版
|
0061 名無しどんぶらこ 2025/11/28(金) 09:17:00.51",">>55
統一教会「高市さんはコミュ強！」",,>>55,,ID:cpIE0x5z0(4/21),,,,,,
"垢版
|
0062 名無しどんぶらこ 2025/11/28(金) 09:17:01.68","もっともっと炙り出せ　
高市vs中国＋立憲共産＋オールドメディアって構図にして解散しろ
そうすれば負けはない",,,,ID:nwrEn+ic0,,,,,,
"垢版
|
0063 名無しどんぶらこ 2025/11/28(金) 09:17:01.83",正；中共を利するために中共がやってる,,,,ID:fCRWVJcJ0,,,,,,
"垢版
|
0064 名無しどんぶらこ 2025/11/28(金) 09:17:37.46","国内の事なら閣議決定で抑えられるけど外交問題はそうはいかない
失言は相手を利するだけ首相である以上答弁には慎重を期してもらわねばならない",,,,ID:79IS6kEl0(2/2),,,,,,
"垢版
|
0065 名無しどんぶらこ 2025/11/28(金) 09:17:53.76",高市批判？,,,,ID:rX3rjshI0,,,,,,
"垢版
|
0066 名無しどんぶらこ 2025/11/28(金) 09:17:55.79",そもそも中国が日本に圧力かけられる口実を与えて中国を利することをしたのは誰かって話,,,,ID:5HRoohjt0(2/2),1,,,,,
"垢版
|
0067 名無しどんぶらこ 2025/11/28(金) 09:18:00.87",">>1
事実上の『高市首相発言を全面的な否定』
さすが二枚舌（矛盾だらけ）の自民党",,>>1,,ID:8njw46DG0,,,,,,
"垢版
|
0068 名無しどんぶらこ 2025/11/28(金) 09:18:33.67","日本のマスコミ中国に利することしか報道しない
ひたすら中国上げしか考えてない
ただの中国の工作機関",,,,ID:EcAeN9/j0,,,,,,
"垢版
|
0069 名無しどんぶらこ 2025/11/28(金) 09:18:44.75",">>46
岡田って中国のヤバい人らと会談してるんだっけ、メディアはその辺をなぜ深掘りしないのかな",,>>46,,ID:3bCGpT//0(5/7),,,,,,
"垢版
|
0070 名無しどんぶらこ 2025/11/28(金) 09:18:58.84",従来の主張が一貫して中国に利するものだっただろうが,,,,ID:65fDkI6U0,,,,,,
"垢版
|
0071 名無しどんぶらこ 2025/11/28(金) 09:18:59.93","そもそも中国は存続危機って日本語をどう解釈してんの
そこに齟齬がありゃ説明すりゃいいだけで撤回の必要は無いだろ",,,,ID:5txNNL3h0,,,,,,
"垢版
|
0072 名無しどんぶらこ 2025/11/28(金) 09:19:10.40","日本　いつも通り
中国　イチャモンマン
　
正論だな",,,,ID:BT3I7iTT0,,,,,,
"垢版
|
0073 名無しどんぶらこ 2025/11/28(金) 09:19:24.12",">>1
うつみみどり先生の出番ですね",,>>1,,ID:QCgnpy230(1/5),,,,,,
"垢版
|
0074 名無しどんぶらこ 2025/11/28(金) 09:19:30.57","高市の存在が中共にとって邪魔だから何も問題なくてもとにかく批判して失脚させたい
できれば日本国民の手によって

中共の考えはこんな感じかね
一部のバカはまだ批判してるけど中共の思惑通りなのバカだから気づかんのか",,,,ID:HoYuuc2f0(1/3),1,,,,,
"垢版
|
0075 名無しどんぶらこ 2025/11/28(金) 09:19:40.36",">>44
ここも嫌儲化してきたしな
そのうちXでスレが立つ",,>>44,,ID:Ji1IjxqT0(1/2),,,,,,
"垢版
|
0076 名無しどんぶらこ 2025/11/28(金) 09:19:48.48",米作るとか作らんとか一貫してないけど,,,,ID:x07/Oz7D0,,,,,,
"垢版
|
0077 名無しどんぶらこ 2025/11/28(金) 09:19:55.48",ていうか非核三原則の方を撤回した方がよくね？,,,,ID:DJ18aIvV0,1,,,,,
"垢版
|
0078 名無しどんぶらこ 2025/11/28(金) 09:20:27.61",">>55
単発は死んだら
何なら殺してもいいよ",,>>55,,ID:FylZoUU80(1/2),1,,,,,
"垢版
|
0079 名無しどんぶらこ 2025/11/28(金) 09:20:50.65","オールドメディアは日本の中国による嫌がらせにより
引き起こされた負の部分しか報道しない。
世界の目線が抜けている。",,,,ID:s1cjEhuk0(4/7),1,,,,,
"垢版
|
0080 名無しどんぶらこ 2025/11/28(金) 09:20:56.73","別にキチガイ国家に説明する必要もない
キチガイなのを国際社会に晒してるだけだからな",,,,ID:97c7Umsq0,,,,,,
"垢版
|
0081 名無しどんぶらこ 2025/11/28(金) 09:21:16.99","日本の国会議員やマスゴミがなぜか中国の認知戦や情報戦に協力してるというおかしな状況になっている
中国のニュースに反高市で映像を使われて中国に利用されている議員は普通にスパイって言われても仕方がない",,,,ID:vsn57f6l0(1/4),,,,,,
"垢版
|
0082 名無しどんぶらこ 2025/11/28(金) 09:21:27.63","左翼政党と左翼メディアは放置
早く帰化厳格化とスパイ防止法案を頼む",,,,ID:batBYkEK0,,,,,,
"垢版
|
0083 名無しどんぶらこ 2025/11/28(金) 09:21:39.32",">>74
そうそうスパイ防止法出来たらもう死刑連発されちゃうからな
ぶっちゃけそこまでなる前に一匹一匹首刎ねればいいんだけども",,>>74,,ID:FylZoUU80(2/2),1,,,,,
"垢版
|
0084 名無しどんぶらこ 2025/11/28(金) 09:21:42.87",オールドメディアに国防動員法が出てるんですかねw,,,,ID:0T88Jl3R0,,,,,,
"垢版
|
0085 名無しどんぶらこ 2025/11/28(金) 09:21:45.28",">>2
日本側は何も間違ってないのに何を撤回するねんと
工作員かな？",,>>2,,ID:Umddt1SL0,,,,,,
"垢版
|
0086 名無しどんぶらこ 2025/11/28(金) 09:22:07.65","中国外務省「正式な発言撤回なければ受け入れず」　高市首相は台湾有事「存立危機事態」言及せずも「言及しないことと撤回は別問題」★2 [ぐれ★]
https://asahi.5ch.ne...newsplus/1764281634/

トランプ氏、日中の対立を懸念　首相に「エスカレート回避を」－日本政府関係者(共同) ★2 [蚤の市★]
https://asahi.5ch.ne...newsplus/1764278405/",https://asahi.5ch.net/test/read.cgi/newsplus/1764281634/,https://asahi.5ch.ne...newsplus/1764281634/,,ID:1/R/MAWN0(1/7),,https://asahi.5ch.ne...newsplus/1764278405/,https://asahi.5ch.net/test/read.cgi/newsplus/1764278405/,,,
"垢版
|
0087 名無しどんぶらこ 2025/11/28(金) 09:22:30.79","オールドメディアは中国側だとハッキリしましたね
何故いつも中国側に有利な報道するのでしょうか",,,,ID:E4OoSSxG0(1/12),1,,,,,
"垢版
|
0088 名無しどんぶらこ 2025/11/28(金) 09:22:38.60","はっきりいうと
習近平にとって高市早苗は目障り。これだけだよ。
日本国は相手にしていないからアメリカしか見てないのでね。",,,,ID:s1cjEhuk0(5/7),1,,,,,
"垢版
|
0089 名無しどんぶらこ 2025/11/28(金) 09:22:42.48","これ思ってたわ
政府見解とまったく違う方向に印象操作するマスコミはおかしい",,,,ID:w0bops210,,,,,,
"垢版
|
0090 名無しどんぶらこ 2025/11/28(金) 09:22:46.15",野党ガー😂,,,,ID:egP/zQwg0(1/7),,,,,,
"垢版
|
0091 名無しどんぶらこ 2025/11/28(金) 09:22:49.42","中国が余裕無くなって草
鄧小平が居ない今、不況から脱出できるかな？",,,,ID:dOUX7+GH0,,,,,,
"垢版
|
0092 名無しどんぶらこ 2025/11/28(金) 09:22:49.58",">>79
世界が日本を支持したなんて中国に都合が悪すぎて報道できんしな",,>>79,,ID:q7jhqwQO0(1/5),,,,,,
"垢版
|
0093 名無しどんぶらこ 2025/11/28(金) 09:22:50.32",論破ールーム,,,,ID:QCgnpy230(2/5),,,,,,
"垢版
|
0094 名無しどんぶらこ 2025/11/28(金) 09:22:57.02","だってさ
政府職員も大変だねえw",,,,ID:kCegNbRu0(1/11),,,,,,
"垢版
|
0095 名無しどんぶらこ 2025/11/28(金) 09:23:00.12",">>66
その圧力で日本企業が中国離れ決意した所出て来てるっぽいから、日本にとっては転機だろね
圧力何度目だよって感じで遅い感は否めないけど、どんどん距離とっていこう",,>>66,,ID:3bCGpT//0(6/7),,,,,,
"垢版
|
0096 名無しどんぶらこ 2025/11/28(金) 09:23:21.85",それをしたのが高市だろｗ,,,,ID:fYGiJxCc0,1,,,,,
"垢版
|
0097 名無しどんぶらこ 2025/11/28(金) 09:23:23.91",立憲とかマスゴミのことか,,,,ID:+U5x9iEI0,,,,,,
"垢版
|
0098 名無しどんぶらこ 2025/11/28(金) 09:23:37.93","> 中国が一方的に主張していることに対して、
> このような認識を示すことは、まさに国益を損なうものです。

因縁をつけておいて「どっちも悪いよね」と言い出す
中韓の手口",,,,ID:vCDheepz0(1/4),,,,,,
"垢版
|
0099 名無しどんぶらこ 2025/11/28(金) 09:23:55.22",自民党広報が公式にこれ言っちゃうとかほんと党内のガバナンスどうなってんの？？？,,,,ID:P3TX57Jp0(1/2),1,,,,,
"垢版
|
0100 名無しどんぶらこ 2025/11/28(金) 09:24:05.63",">>88
アメリカもノーセンキューでしょ",,>>88,,ID:QCgnpy230(3/5),,,,,,
"垢版
|
0101 名無しどんぶらこ 2025/11/28(金) 09:24:09.57",">>96
これな。",,>>96,,ID:egP/zQwg0(2/7),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,,
"垢版
|
0102 名無しどんぶらこ 2025/11/28(金) 09:24:34.86",">>77
石破は核保有まで踏み込んだ発言してたのに、
中国&パヨ&メディアは聞こえないフリして全く叩かれなかった。

高市が核共有とか発言したら連日連夜大問題化されてお祭り状態になるだろう。",,>>77,,ID:E9sz64980(1/4),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,,
"垢版
|
0103 名無しどんぶらこ 2025/11/28(金) 09:24:35.17",前総裁が率先してそんな言動を繰り返しておるぞ,,,,ID:cW2mJbzU0(1/2),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,,
"垢版
|
0104 名無しどんぶらこ 2025/11/28(金) 09:24:38.05",与党の批判は許さないって普通に考えたら異常なんだけどそれを当たり前に言うあたりさすが大政翼賛会をした国,,,8,ID:/4Q3Y6c00,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,
"垢版
|
0105 名無しどんぶらこ 2025/11/28(金) 09:24:41.17",結果的にシナチク避けになってるんだから良いんじゃね？,,,,ID:MS8FNSKy0,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,,
"垢版
|
0106 名無しどんぶらこ 2025/11/28(金) 09:24:42.87","日本国民も気づき出しましたもんね
オールドメディアって日本に不利な報道するよなって",,,,ID:E4OoSSxG0(2/12),1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,
"垢版
|
0107 名無しどんぶらこ 2025/11/28(金) 09:24:49.67","一貫した立場とは何？
全然説明してないよな",,,,ID:FMqc7pMF0(1/2),1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,
"垢版
|
0108 名無しどんぶらこ 2025/11/28(金) 09:24:55.58","トランプ氏、日中の対立を懸念　首相に「エスカレート回避を」－日本政府関係者(共同) ★3 [蚤の市★]
https://asahi.5ch.ne...newsplus/1764287217/",https://asahi.5ch.net/test/read.cgi/newsplus/1764287217/,https://asahi.5ch.ne...newsplus/1764287217/,,ID:1/R/MAWN0(2/7),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,,
"垢版
|
0109 名無しどんぶらこ 2025/11/28(金) 09:25:01.04","何か気に入らないことがあったらすぐに経済的威圧をしてくるところに対して、依存しすぎるということは、サプライチェーン（供給網）リスクだけでなく、さまざまな、観光に対してもリスクではあるので

これが全て",,,,ID:HoYuuc2f0(2/3),1,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,
"垢版
|
0110 名無しどんぶらこ 2025/11/28(金) 09:25:21.81",">>1
一方的に勝手に罵ってるのは中国だけなので",,>>1,,ID:y2ZTohrL0(1/3),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,,
"垢版
|
0111 名無しどんぶらこ 2025/11/28(金) 09:25:28.18",">>99
ガチで内と外の区別が付かないんだよ。私人として～とかのらりくらりと誤魔化し続けてきた結果だな。",,>>99,,ID:egP/zQwg0(3/7),,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764288396#,,
