threadview_response_info,inline-form2 href,inline-form2,inline-form2 (2),notranslate,threadview_response_body,notranslate (2),notranslate (3),notranslate (4),notranslate (5),notranslate (6),notranslate (7),notranslate (8),notranslate (9),notranslate (10),notranslate (11),notranslate (12),threadview_response_body_link href,threadview_response_body_link,res_id href,res_id,notranslate (13),js-response,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,threadview_response_body_link href (2),threadview_response_body_link (2),js-ng-setting href,js-response href
"垢版
|
0010 名無しどんぶらこ 2025/11/25(火) 23:44:03.51
0010 匿名 Donburako 2025/11/25（星期二）23：44：03.51",https://donguri.5ch.net/,垢版,|,0010 匿名 Donburako 2025/11/25（星期二）23：44：03.51,"高市が暗い表情で笑った    高市带着阴郁的表情笑了笑
ほんとわかりやすい女やな    她是个非常容易理解的女人",高市带着阴郁的表情笑了笑,她是个非常容易理解的女人,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:dj8O0FSX0  编号：dj8O0FSX0,编号：dj8O0FSX0,1,,,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/25(火) 23:44:35.24
0011 匿名 Donburako 2025/11/25（星期二）23：44：35.24",https://donguri.5ch.net/,垢版,|,0011 匿名 Donburako 2025/11/25（星期二）23：44：35.24,ネトウヨ不眠症wwww   Netoyo 失眠 wwww,Netoyo 失眠 wwww,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:7i7ZYsmQ0  编号：7i7ZYsmQ0,编号：7i7ZYsmQ0,,,,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/25(火) 23:47:25.07
0012 匿名 Donburako 2025/11/25（星期二）23：47：25.07",https://donguri.5ch.net/,垢版,|,0012 匿名 Donburako 2025/11/25（星期二）23：47：25.07,"逆に退路断たれたって可能性もある    另一方面，逃生路线也有可能被切断。
日本の覚悟は受け取った！アメリカは全力で支援する！頑張れよ！
日本的决心已经被接受！ 美国将尽最大努力支持它！ 加油！
と    和
まあ詳細がわからんからどこまでいっても陰謀論と妄想の域だが
嗯，我不清楚细节，所以无论我怎么追究，这都只是阴谋论和妄想。
両国の対応を見ると双方に自制しろって言った可能性が濃厚な気も
从两国的反应来看，我认为双方很可能都被告知要克制。",另一方面，逃生路线也有可能被切断。,日本的决心已经被接受！ 美国将尽最大努力支持它！ 加油！,和,嗯，我不清楚细节，所以无论我怎么追究，这都只是阴谋论和妄想。,从两国的反应来看，我认为双方很可能都被告知要克制。,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:7mw0BWP20  编号：7mw0BWP20,编号：7mw0BWP20,1,,,,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/25(火) 23:48:55.23
0013 匿名 Donburako 2025/11/25（星期二）23：48：55.23",https://donguri.5ch.net/,垢版,|,0013 匿名 Donburako 2025/11/25（星期二）23：48：55.23,"【必見】メンタリストDaiGoことメンヘラ松丸大吾、またまたまた5chスレでネトスト粘着荒らしがバレる【身バレ】
门赫拉大吾松丸，也就是心灵师大吾，再次在 5ch 讨论中被揭露【身体裸露】

以前より、5chアウトロー板「YouTuber小山恵吾🗿」スレに「統失ホモチョンヒトモドキ🧑🏻‍🦱」と呼ばれる粘着ネトスト反日荒らしが出没。
此前，一个名为“统一 Homo Chon Hitomodoki 🧑🏻 🦱”的粘网反日喷子出现在 5ch 非法论坛“YouTuber Keigo 🗿 Koyama”讨论串中。
会話の流れや言動、あまりの語彙の香ばしさや「Xのポエムとの共通点」等からスレ民に何度も中身がDaiGoだとバレる。
由于对话、言语和动作的流畅、词汇的气息以及“与 X 诗歌的相似性”，帖子里的人多次发现内容是大吾。
そして、何度もDaiGoのイタい画像等を当て擦られてイジメられ続けた末にどこでもワンパな「学歴・年収・高級ワインマウント」に逃げだして、また完全身バレ🤣
在多次被大悟的调皮图片摩擦后，他开始逃到“教育、年收入和高端酒坛”，结果再次彻底暴露 🤣

[🧑🏻‍🦱] 0234 名無番長 2025/11/13(木) 12:39:12.11
さーて先日買った600万のワインでも飲むか    现在，我要不要喝我前几天买的那600万美酒？

[スレ民] 0240 名無番長 2025/11/13(木) 12:54:16.60
[讨论串] 0240 无名班长 2025/11/13 （星期四） 12：54：16.60
今もこんなクソダサAIサムネでライブ中の反日チョンがいるね🤭
即使现在，仍有🤭反日人士忍受着这样一个蹩脚的 AI 缩略图
こっちの反日チョンはワイングラスが空にたくさん浮かんでるのが面白いと思ったらしい🥶
这位反日的全🥶似乎觉得天空中漂浮着许多酒杯很有趣
https://imgur.com/A7rsaLE.jpeg


[🧑🏻‍🦱] 0249 名無番長 2025/11/13(木) 13:03:35.93
僕はいちおー旧帝出だからねー    我来自旧皇帝。

[🧑🏻‍🦱] 0259 名無番長 2025/11/13(木) 13:58:53.44 
お主らの年収以上のワインを嗜んでおるぞ    我喜欢超过你年收入的葡萄酒

[スレ民] 0279 名無番長 2025/11/13(木) 14:38:17.50 
[讨论串] 0279 无名班长 2025/11/13 （星期四） 14：38：17.50
俺も最初は信じられなかったけどもう完全に確定したな
起初我不信，但我完全确定
それにしてもごまかしようがない芋野郎さからの身バレってすごいなw
即便如此，令人惊讶的是，那个无法被欺骗的土豆混蛋的身份竟然被揭露了。

[🧑🏻‍🦱] 0280 名無番長 2025/11/13(木) 14:38:24.08 
子鹿と高級ワインで優雅なランチと洒落込みますか（※身バレ火消しできなくて開き直り）
你想来一顿优雅的午餐，配上小鹿和高品质美酒吗（*我熄火还是又点了一次）

[スレ民] 0305 名無番長 2025/11/13(木) 15:14:03.11
[讨论串] 0305 无名班长 2025/11/13 （星期四） 15：14：03.11
擁護コメは明らかに本人    这部倡导喜剧显然是本人本人

◆アウトロー板当該スレ：『汁屁過多性脱水症状❤オイルブッヒ❤37』（※レス番200頃から身バレ大暴れ）
◆Outlaw 板讨论串：“过度脱水油❤第 37 卷❤”（*身体暴露狂潮，约 200 年起）
https://medaka.5ch.n....cgi/4649/1762490978",门赫拉大吾松丸，也就是心灵师大吾，再次在 5ch 讨论中被揭露【身体裸露】,此前，一个名为“统一 Homo Chon Hitomodoki 🧑🏻 🦱”的粘网反日喷子出现在 5ch 非法论坛“YouTuber Keigo 🗿 Koyama”讨论串中。,由于对话、言语和动作的流畅、词汇的气息以及“与 X 诗歌的相似性”，帖子里的人多次发现内容是大吾。,在多次被大悟的调皮图片摩擦后，他开始逃到“教育、年收入和高端酒坛”，结果再次彻底暴露 🤣,[讨论串] 0240 无名班长 2025/11/13 （星期四） 12：54：16.60,即使现在，仍有🤭反日人士忍受着这样一个蹩脚的 AI 缩略图,现在，我要不要喝我前几天买的那600万美酒？,这位反日的全🥶似乎觉得天空中漂浮着许多酒杯很有趣,[讨论串] 0279 无名班长 2025/11/13 （星期四） 14：38：17.50,起初我不信，但我完全确定,即便如此，令人惊讶的是，那个无法被欺骗的土豆混蛋的身份竟然被揭露了。,https://medaka.5ch.net/test/read.cgi/4649/1762490978,https://medaka.5ch.n....cgi/4649/1762490978,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:pJSAWGhy0  ID：pJSAWGhy0,ID：pJSAWGhy0,,,,https://imgur.com/A7rsaLE.jpeg,https://imgur.com/A7rsaLE.jpeg,,
"垢版
|
0014 名無しどんぶらこ 2025/11/25(火) 23:49:06.62
0014 匿名 Donburako 2025/11/25（星期二）23：49：06.62",https://donguri.5ch.net/,垢版,|,0014 匿名 Donburako 2025/11/25（星期二）23：49：06.62,"朝日新聞は中国人に話聞いて記事にするのがこの期に及んで馬鹿げてるねえ
朝日新闻在那个时期听中国人讲述并写文章简直荒谬。
最低限アメリカからも話聞いて来なきゃ    至少我得听听美国的消息
恣意的なオールドメディアのなかでも相変わらず飛び切り偏ってるね
即使在任意的旧媒体中，它依然带有偏见。",朝日新闻在那个时期听中国人讲述并写文章简直荒谬。,至少我得听听美国的消息,即使在任意的旧媒体中，它依然带有偏见。,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:1nRp25JG0  ID：1nRp25JG0,ID：1nRp25JG0,1,,,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/25(火) 23:49:09.52
0015 匿名 Donburako 2025/11/25（星期二）23：49：09.52",https://donguri.5ch.net/,垢版,|,0015 匿名 Donburako 2025/11/25（星期二）23：49：09.52,"アメリカ政府に助言されたと予想    预计会得到美国政府的建议
トランプは高市の事など全く頭になかっただろ    特朗普根本没考虑过高市。
高市の台湾発言はスルーし中国大使の首切り発言では中国を批判しなかった
高市关于台湾的言论被忽视，中国大使的斩首言论也未批评中国
日本の親米バカ共にアメリカは日本の味方ですよ（大嘘）というのを示す為にアメリカ政府に電話くらいしとけと言われたんだろ
这两个日本亲美的傻瓜被告知要打电话给美国政府，以表明美国站在日本这边（这是个大谎言）。",预计会得到美国政府的建议,特朗普根本没考虑过高市。,高市关于台湾的言论被忽视，中国大使的斩首言论也未批评中国,这两个日本亲美的傻瓜被告知要打电话给美国政府，以表明美国站在日本这边（这是个大谎言）。,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:8QVcV8ql0  ID：8QVcV8ql0,ID：8QVcV8ql0,,,,,,,
"垢版
|
0016 名無しどんぶらこ 2025/11/25(火) 23:49:46.83
0016 匿名 Donburako 2025/11/25（星期二）23：49：46.83",https://donguri.5ch.net/,垢版,|,0016 匿名 Donburako 2025/11/25（星期二）23：49：46.83,"でも台湾へ武器売却するわ与那国にミサイル配備するわ
但我会向台湾出售武器，我会在与那国部署导弹。
むしろ中国の首が締まってるだろ    相反，中国的压力反而被勒紧了。",但我会向台湾出售武器，我会在与那国部署导弹。,相反，中国的压力反而被勒紧了。,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:DGNt+oEp0  ID：DGNt+oEp0,ID：DGNt+oEp0,,,,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/25(火) 23:50:09.78
0017 匿名 Donburako 2025/11/25（星期二）23：50：09.78",https://donguri.5ch.net/,垢版,|,0017 匿名 Donburako 2025/11/25（星期二）23：50：09.78,"あんまり前のめりになるなという釘刺しでしょう    不让自己身体前倾太过，简直是一颗钉子
親米の自民党だからトーンがだいぶ落ちるはず    既然这是一个亲美的自由民主党，基调应该会大幅降低。",不让自己身体前倾太过，简直是一颗钉子,既然这是一个亲美的自由民主党，基调应该会大幅降低。,ID：AhbJ14MK0（1/2）,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:AhbJ14MK0(1/2)  ID：AhbJ14MK0（1/2）,,,,,,,,
"垢版
|
0018 名無しどんぶらこ 2025/11/25(火) 23:50:59.30
0018 匿名 Donburako 2025/11/25（星期二）23：50：59.30",https://donguri.5ch.net/,垢版,|,0018 匿名 Donburako 2025/11/25（星期二）23：50：59.30,"ヅランプ    灯
「高市　キンペーに詫び入れろや　国賓としてアメリカに招待するんやで」
“高市，向金平道歉，并邀请他作为国宾来美国。”",灯,“高市，向金平道歉，并邀请他作为国宾来美国。”,ID：IboUghbK0（1/2）,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:IboUghbK0(1/2)  ID：IboUghbK0（1/2）,,,,,,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/25(火) 23:51:12.33
0019 匿名 Donburako 2025/11/25（星期二）23：51：12.33",https://donguri.5ch.net/,垢版,|,0019 匿名 Donburako 2025/11/25（星期二）23：51：12.33,トランプに尻拭いしてもらうとは・・・   我不知道特朗普会不会帮我擦屁股......,我不知道特朗普会不会帮我擦屁股......,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:SjDcoPbz0  编号：SjDcoPbz0,编号：SjDcoPbz0,1,,,,,,
"垢版
|
0020 名無しどんぶらこ 2025/11/25(火) 23:52:47.80
0020 匿名 Donburako 2025/11/25（星期二）23：52：47.80",https://donguri.5ch.net/,垢版,|,0020 匿名 Donburako 2025/11/25（星期二）23：52：47.80,仲介して貰わないと交渉すらできんなw   没有中间人我甚至无法谈判。,没有中间人我甚至无法谈判。,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:bCycC8xz0  ID：bCycC8xz0,ID：bCycC8xz0,,,,,,,
"垢版
|
0021 名無しどんぶらこ 2025/11/25(火) 23:52:49.96
0021 匿名 Donburako 2025/11/25（星期二）23：52：49.96",https://donguri.5ch.net/,垢版,|,0021 匿名 Donburako 2025/11/25（星期二）23：52：49.96,"ピョン吉は自分でお尻を拭くことさえ出来ないからな
平吉连屁股都擦不了。",平吉连屁股都擦不了。,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:bumKCC460  编号：bumKCC460,编号：bumKCC460,,,,,,,
"垢版
|
0022 名無しどんぶらこ 2025/11/25(火) 23:53:33.98
0022 匿名 Donburako 2025/11/25（星期二）23：53：33.98",https://donguri.5ch.net/,垢版,|,0022 匿名 Donburako 2025/11/25（星期二）23：53：33.98,"おめでてーな    祝贺
日本のことなんて欠片も気にしてねーよトランプは
我根本不关心日本，特朗普",祝贺,我根本不关心日本，特朗普,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:DARE8MsF0  ID：DARE8MsF0,ID：DARE8MsF0,1,,,,,,
"垢版
|
0023 名無しどんぶらこ 2025/11/25(火) 23:53:42.62
0023 匿名 Donburako 2025/11/25（星期二）23：53：42.62",https://donguri.5ch.net/,垢版,|,0023 匿名 Donburako 2025/11/25（星期二）23：53：42.62,">>19
トランプ    打牌
「尻拭いするなんてゆってないよ？」    “你不想擦屁股吧？”",打牌,“你不想擦屁股吧？”,,,,,,,,,,,>>19,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:+vEpfRp10  ID：+vEpfRp10,ID：+vEpfRp10,,,,,,,
"垢版
|
0024 名無しどんぶらこ 2025/11/25(火) 23:53:52.44
0024 匿名 Donburako 2025/11/25（星期二）23：53：52.44",https://donguri.5ch.net/,垢版,|,0024 匿名 Donburako 2025/11/25（星期二）23：53：52.44,"トランプ「私は日本が台湾海峡情勢を激化させる行動を取ることを望んでいない｣
特朗普：“我不希望日本采取使台海局势升级的行动。”
トランプを怒らせた高市終わったな    惹怒特朗普的高市，结束了。",特朗普：“我不希望日本采取使台海局势升级的行动。”,惹怒特朗普的高市，结束了。,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:NkcEkPXI0  编号：NkcEkPXI0,编号：NkcEkPXI0,,,,,,,
"垢版
|
0025 名無しどんぶらこ 2025/11/25(火) 23:54:54.41
0025 匿名 Donburako 2025/11/25（星期二）23：54：54.41",https://donguri.5ch.net/,垢版,|,0025 匿名 Donburako 2025/11/25（星期二）23：54：54.41,"ガチ詳しい人に聞きたいんだけど、    我想请教一位非常有见识的人，
北斗の拳に例えると今どの辺？    现在在哪里？",我想请教一位非常有见识的人，,现在在哪里？,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:90Anlkto0  编号：90Anlkto0,编号：90Anlkto0,,,,,,,
"垢版
|
0026 名無しどんぶらこ 2025/11/25(火) 23:55:06.69
0026 匿名 Donburako 2025/11/25（星期二）23：55：06.69",https://donguri.5ch.net/,垢版,|,0026 匿名 Donburako 2025/11/25（星期二）23：55：06.69,"トラ「あのBBA、俺の前で腰振ってやがったw」
虎：“那个 BBA 当着我的面摇了摇腰。”
プー「クッソ笑えるアル」    维尼：“有趣的阿尔。”",虎：“那个 BBA 当着我的面摇了摇腰。”,维尼：“有趣的阿尔。”,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:CR3yUg/e0  ID：CR3yUg/e0,ID：CR3yUg/e0,,,,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/25(火) 23:55:28.60
0027 匿名 Donburako 2025/11/25（星期二）23：55：28.60",https://donguri.5ch.net/,垢版,|,0027 匿名 Donburako 2025/11/25（星期二）23：55：28.60,ノーベル平和賞   诺贝尔和平奖,诺贝尔和平奖,,ID：IiuvTfLq0（1/2）,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:IiuvTfLq0(1/2)  ID：IiuvTfLq0（1/2）,,,,,,,,
