threadview_response_info,inline-form2 href,inline-form2,inline-form2 (2),notranslate,threadview_response_body,notranslate (2),notranslate (3),notranslate (4),notranslate (5),notranslate (6),threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),notranslate (7),notranslate (8),threadview_response_body_link href (3),threadview_response_body_link (3),notranslate (9),notranslate (10),notranslate (11),res_id href,res_id,notranslate (12),js-response,notranslate (14),notranslate (15),js-ng-setting href,js-response href,threadview_response_body_embedlink href,threadview_response_body_thumbnail src
"垢版
|
0010 名無しどんぶらこ 2025/11/23(日) 19:08:04.53
0010 匿名 Donburako 2025/11/23（星期日）19：08：04.53",https://donguri.5ch.net/,垢版,|,0010 匿名 Donburako 2025/11/23（星期日）19：08：04.53,"＞政治局員兼外相    >政治局员兼外相

その辺の木っ端役人じゃないからな    我那边可不是樵夫。
中国の最高指導部という事は、習近平の意向だわ    中国最高领导人正是习近平的意图",ID：DFaKAujX0（1/2）,>政治局员兼外相,,,,,,,,我那边可不是樵夫。,,,,中国最高领导人正是习近平的意图,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:DFaKAujX0(1/2)  ID：DFaKAujX0（1/2）,,,,,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/23(日) 19:08:20.74
0011 匿名 Donburako 2025/11/23（周日）19：08：20.74",https://donguri.5ch.net/,垢版,|,0011 匿名 Donburako 2025/11/23（周日）19：08：20.74,玉毅くん、はしゃぎすぎ   玉木君太爱玩了,编号：FEGNKGpW0（1/2）,玉木君太爱玩了,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:FEGNKGpW0(1/2)  编号：FEGNKGpW0（1/2）,,,,,,,,
"垢版
|
0012 警備員[Lv.3][新芽] 2025/11/23(日) 19:08:48.69
0012 警備員[Lv.3][新芽] 2025/11/23（日） 19：08：48.69",https://donguri.5ch.net/,垢版,|,0012 警備員[Lv.3][新芽] 2025/11/23（日） 19：08：48.69,"もう自己紹介なんだか妄想なんだか迷走しまくりだな
我已经在四处游荡，自我介绍或妄想。",我已经在四处游荡，自我介绍或妄想。,,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:JY7IqEI80  编号：JY7IqEI80,编号：JY7IqEI80,,,,,,,
"垢版
|
0013 警備員[Lv.0][新芽] 2025/11/23(日) 19:08:50.49
0013 警備員[Lv.0][新芽] 2025/11/23（日） 19：08：50.49",https://donguri.5ch.net/,垢版,|,0013 警備員[Lv.0][新芽] 2025/11/23（日） 19：08：50.49,中国ってとんでもねえ軍国主義だよな   中国是一个糟糕的军国主义国家,,中国是一个糟糕的军国主义国家,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:cZcEPzqy0  ID：cZcEPzqy0,ID：cZcEPzqy0,,,,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/23(日) 19:09:01.36
0014 匿名 Donburako 2025/11/23（周日）19：09：01.36",https://donguri.5ch.net/,垢版,|,0014 匿名 Donburako 2025/11/23（周日）19：09：01.36,軍国主義の中国に言われてもなw   我才不在乎军国主义的中国告诉我呢，哈哈,,我才不在乎军国主义的中国告诉我呢，哈哈,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:Ab7UUJHl0  编号：Ab7UUJHl0,编号：Ab7UUJHl0,,,,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/23(日) 19:09:02.17
0015 匿名 Donburako 2025/11/23（星期日）19：09：02.17",https://donguri.5ch.net/,垢版,|,0015 匿名 Donburako 2025/11/23（星期日）19：09：02.17,王毅将軍「ここここ   王毅将军：“这里和这里,,王毅将军：“这里和这里,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:NX5L2hsU0  编号：NX5L2hsU0,编号：NX5L2hsU0,,,,,,,
"垢版
|
0016 【滑っちゃったぁ】 2025/11/23(日) 19:09:08.85
0016 [我滑倒了] 2025/11/23（星期日）19：09：08.85",https://donguri.5ch.net/,垢版,|,0016 [我滑倒了] 2025/11/23（星期日）19：09：08.85,"王毅さんって日本に長くいたので日本にもファンは多かった。イイ人だって分かってるので、中国共産党で生き残るのは大変なんだネ〜っていう感想しかないナ　こんなんプロレス臭しかしないデショ、この人が言ったって
王毅在日本待了很久，所以在日本有很多粉丝。 我知道自己是个好人，所以我只觉得在中国共产党里生存很难。",王毅在日本待了很久，所以在日本有很多粉丝。 我知道自己是个好人，所以我只觉得在中国共产党里生存很难。,,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:rwrmma8P0  编号：rwrmma8P0,编号：rwrmma8P0,1,,,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/23(日) 19:09:09.55
0017 匿名 Donburako 2025/11/23（周日）19：09：09.55",https://donguri.5ch.net/,垢版,|,0017 匿名 Donburako 2025/11/23（周日）19：09：09.55,あんたらの国の方が軍事国家やろw   你的国家更像是军事国家。,,你的国家更像是军事国家。,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:2GwDd2+90  ID：2GwDd2+90,ID：2GwDd2+90,,,,,,,
"垢版
|
0018 名無しどんぶらこ 2025/11/23(日) 19:09:20.76
0018 匿名 Donburako 2025/11/23（周日）19：09：20.76",https://donguri.5ch.net/,垢版,|,0018 匿名 Donburako 2025/11/23（周日）19：09：20.76,"軍国主義作って欲しいんだろうな～    我猜你想制造军国主义~
それより今の中国って戦前日本みたいだよな    相反，今天的中国就像战前的日本。",,我猜你想制造军国主义~,,,,,,,,相反，今天的中国就像战前的日本。,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:RfzGmTIC0  编号：RfzGmTIC0,编号：RfzGmTIC0,,,,,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/23(日) 19:09:26.50
0019 匿名 Donburako 2025/11/23（周日）19：09：26.50",https://donguri.5ch.net/,垢版,|,0019 匿名 Donburako 2025/11/23（周日）19：09：26.50,"スルーしてるうちに日本の悪評が広がる    经过时，日本的坏名声逐渐传播开来
韓国が慰安婦像あちこちに置いて日本が悪いってのを定着させるのに成功したしね
韩国成功地在各处竖立慰安妇雕像，以确立日本的坏处
その辺をちゃんと研究してるんだろうな    我猜你确实在认真研究那个领域",韩国成功地在各处竖立慰安妇雕像，以确立日本的坏处,经过时，日本的坏名声逐渐传播开来,,,,,,,,我猜你确实在认真研究那个领域,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:qmMBOyxf0  ID：qmMBOyxf0,ID：qmMBOyxf0,,,,,,,
"垢版
|
0020 名無しどんぶらこ 2025/11/23(日) 19:09:43.04
0020 匿名 Donburako 2025/11/23（星期日）19：09：43.04",https://donguri.5ch.net/,垢版,|,0020 匿名 Donburako 2025/11/23（星期日）19：09：43.04,内政干渉とはこの事   这就是干涉内政的意思。,,这就是干涉内政的意思。,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:+zPG+Jmq0  ID：+zPG+Jmq0,ID：+zPG+Jmq0,,,,,,,
"垢版
|
0021 名無しどんぶらこ 2025/11/23(日) 19:10:01.23
0021 匿名 Donburako 2025/11/23（周日）19：10：01.23",https://donguri.5ch.net/,垢版,|,0021 匿名 Donburako 2025/11/23（周日）19：10：01.23,">>1
いやいやいや……物騒なこと抜かしてるのは終始中華だけですやんw
不 不 不。。。。。。 唯一忽略吵闹的是从头到尾的中文。
しかしそういった嘘を苦笑で済ませたら事実にされかねないから日本はちゃんとその発信元を叩き潰せ
不过，如果你带着苦笑结束这样的谎言，可能会变成事实，所以日本应该好好打碎它的根源。",不 不 不。。。。。。 唯一忽略吵闹的是从头到尾的中文。,,不过，如果你带着苦笑结束这样的谎言，可能会变成事实，所以日本应该好好打碎它的根源。,,,,>>1,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:xRdb8Abv0  ID：xRdb8Abv0,ID：xRdb8Abv0,,,,,,,
"垢版
|
0022 名無しどんぶらこ 2025/11/23(日) 19:10:02.05
0022 匿名 Donburako 2025/11/23（周日）19：10：02.05",https://donguri.5ch.net/,垢版,|,0022 匿名 Donburako 2025/11/23（周日）19：10：02.05,おまいう   奥迈,ID：Of0Te0mv0（1/3）,奥迈,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:Of0Te0mv0(1/3)  ID：Of0Te0mv0（1/3）,,,,,,,,
"垢版
|
0023 名無しどんぶらこ 2025/11/23(日) 19:10:18.58
0023 匿名 Donburako 2025/11/23（周日）19：10：18.58",https://donguri.5ch.net/,垢版,|,0023 匿名 Donburako 2025/11/23（周日）19：10：18.58,"軍事的には防衛できないほど弱いからしかたない    这仅仅是因为它太弱，无法在军事上防御
軍事力を持たないと抵抗もできない    没有军力你无法抵抗。",ID：gYBsPCW40（1/2）,这仅仅是因为它太弱，无法在军事上防御,,,,,,,,没有军力你无法抵抗。,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:gYBsPCW40(1/2)  ID：gYBsPCW40（1/2）,,,,,,,,
"垢版
|
0024 名無しどんぶらこ 2025/11/23(日) 19:10:20.26
0024 匿名 Donburako 2025/11/23（周日）19：10：20.26",https://donguri.5ch.net/,垢版,|,0024 匿名 Donburako 2025/11/23（周日）19：10：20.26,日本の味方は世界にいない説   日本在世界上没有盟友的理论,ID：vL76RmLx0（1/3）,日本在世界上没有盟友的理论,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:vL76RmLx0(1/3)  ID：vL76RmLx0（1/3）,,1,,,,,,
"垢版
|
0025 名無しどんぶらこ 2025/11/23(日) 19:10:21.83
0025 匿名 Donburako 2025/11/23（周日）19：10：21.83",https://donguri.5ch.net/,垢版,|,0025 匿名 Donburako 2025/11/23（周日）19：10：21.83,台湾有事,,,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:r57llN+j0  ID：r57llN+j0,ID：r57llN+j0,,,,,,,
"垢版
|
0026 名無しどんぶらこ 2025/11/23(日) 19:10:27.44
0026 匿名 Donburako 2025/11/23（周日）19：10：27.44",https://donguri.5ch.net/,垢版,|,0026 匿名 Donburako 2025/11/23（周日）19：10：27.44,高市支持者は軍国主義者ばっかりだからな   高一的支持者全都是军国主义者。,ID：zjT7eMO00（1/9）,高一的支持者全都是军国主义者。,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:zjT7eMO00(1/9)  ID：zjT7eMO00（1/9）,,,,,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/23(日) 19:10:47.87
0027 匿名 Donburako 2025/11/23（周日）19：10：47.87",https://donguri.5ch.net/,垢版,|,0027 匿名 Donburako 2025/11/23（周日）19：10：47.87,"小泉進次郎防衛相が21日、YouTube番組「ReHacQ−リハック−」に出演し、高市早苗首相が「反省している」とコメントした。
防卫大臣小泉晋次郎于 21 日出现在 YouTube 节目《ReHacQ-ReHac-》上，首相高市早苗表示他正在“反思”。
　
本人のホンネ暴露キターーーーッ    那个人的启示风筝
もう進次郎は親の立場じゃん    真治郎已经是家长了。",防卫大臣小泉晋次郎于 21 日出现在 YouTube 节目《ReHacQ-ReHac-》上，首相高市早苗表示他正在“反思”。,那个人的启示风筝,,,,,,,,真治郎已经是家长了。,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:CvA7Tlg40  编号：CvA7Tlg40,编号：CvA7Tlg40,,,,,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/23(日) 19:10:59.77
0028 匿名 Donburako 2025/11/23（周日）19：10：59.77",https://donguri.5ch.net/,垢版,|,0028 匿名 Donburako 2025/11/23（周日）19：10：59.77,今、何時代だよ？！   现在是哪个时代了？！,,现在是哪个时代了？！,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:APHMDZR20  ID：APHMDZR20,ID：APHMDZR20,,,,,,,
"垢版
|
0029 名無しどんぶらこ 2025/11/23(日) 19:11:08.36
0029 匿名 Donburako 2025/11/23（周日）19：11：08.36",https://donguri.5ch.net/,垢版,|,0029 匿名 Donburako 2025/11/23（周日）19：11：08.36,"だんだん上位になってきたじゃないか    它越来越高
キンペーが言い出すまであと僅かだぞ    距离金平说的只有几天时间",,它越来越高,,,,,,,,距离金平说的只有几天时间,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:JrpkQY4E0  ID：JrpkQY4E0,ID：JrpkQY4E0,,,,,,,
"垢版
|
0030 名無しどんぶらこ 2025/11/23(日) 19:11:13.01
0030 匿名 Donburako 2025/11/23（周日）19：11：13.01",https://donguri.5ch.net/,垢版,|,0030 匿名 Donburako 2025/11/23（周日）19：11：13.01,"見てよこの王毅外相の言い分    看看王毅外长的论点
左翼の言ってることとそっくり    这正是左翼所说的。
もう馬鹿でもわかるよね。左翼は中国の尖兵    就算是傻瓜也能理解。 左翼是中国的先锋
よっぽどの馬鹿でもない限り騙されることはないと思う
我觉得除非你是个好傻瓜，否则你不会被骗",我觉得除非你是个好傻瓜，否则你不会被骗,看看王毅外长的论点,ID：drsxDMul0（1/2）,,,,,,,这正是左翼所说的。,,,,就算是傻瓜也能理解。 左翼是中国的先锋,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:drsxDMul0(1/2)  ID：drsxDMul0（1/2）,,,,,,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/23(日) 19:11:18.85
0031 匿名 Donburako 2025/11/23（周日）19：11：18.85",https://donguri.5ch.net/,垢版,|,0031 匿名 Donburako 2025/11/23（周日）19：11：18.85,"中国王毅外相までステージ上がったわ    甚至中国外交部长王毅也登上了讲台
はよ習近平でてこい    嘿，习近平真棒",ID：zjT7eMO00（2/9）,甚至中国外交部长王毅也登上了讲台,,,,,,,,嘿，习近平真棒,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:zjT7eMO00(2/9)  ID：zjT7eMO00（2/9）,,,,,,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/23(日) 19:11:19.14
0032 匿名 Donburako 2025/11/23（周日）19：11：19.14",https://donguri.5ch.net/,垢版,|,0032 匿名 Donburako 2025/11/23（周日）19：11：19.14,"あーあ    啊
クソBBAはよやめーや    别读 BBA",ID：MLidlm7Z0（1/3）,啊,,,,,,,,别读 BBA,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:MLidlm7Z0(1/3)  ID：MLidlm7Z0（1/3）,,,,,,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/23(日) 19:11:25.02
0033 匿名 Donburako 2025/11/23（周日）19：11：25.02",https://donguri.5ch.net/,垢版,|,0033 匿名 Donburako 2025/11/23（周日）19：11：25.02,めちゃくちゃ焦っとるやん   我太没耐心了,,我太没耐心了,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:BGplfKJ40  编号：BGplfKJ40,编号：BGplfKJ40,,,,,,,
"垢版
|
0034 名無しどんぶらこ 2025/11/23(日) 19:11:32.62
0034 匿名 Donburako 2025/11/23（周日）19：11：32.62",https://donguri.5ch.net/,垢版,|,0034 匿名 Donburako 2025/11/23（周日）19：11：32.62,"一歩も引くなよ支那畜    别退缩，中国野兽。
今更ひよってんじゃねーぞ    我现在不想再做女孩了。
この眠れる豚野郎    这个沉睡的猪混蛋
べん髪！てん足！根性無し！    扁平的头发！ 脚！ 没胆量！",扁平的头发！ 脚！ 没胆量！,别退缩，中国野兽。,,,,,,,,我现在不想再做女孩了。,,,,这个沉睡的猪混蛋,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:l1e7fxNR0  ID：l1e7fxNR0,ID：l1e7fxNR0,,,,,,,
"垢版
|
0035 名無しどんぶらこ 2025/11/23(日) 19:11:37.90
0035 匿名 Donburako 2025/11/23（周日）19：11：37.90",https://donguri.5ch.net/,垢版,|,0035 匿名 Donburako 2025/11/23（周日）19：11：37.90,単発五毛のスレ   单毛线,单毛线,,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:3EiGHQ4e0  ID：3EiGHQ4e0,ID：3EiGHQ4e0,,,,,,,
"垢版
|
0036 名無しどんぶらこ 2025/11/23(日) 19:11:50.94
0036 匿名 Donburako 2025/11/23（周日）19：11：50.94",https://donguri.5ch.net/,垢版,|,0036 匿名 Donburako 2025/11/23（周日）19：11：50.94,キンペーも早く何か言えよ   金平应该快点说点什么。,金平应该快点说点什么。,,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:r+I53dUE0  ID：r+I53dUE0,ID：r+I53dUE0,,,,,,,
