threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),threadview_response_body_link (3),js-response href,highlight,res_id,js-response
"垢版
|
0024 名無しどんぶらこ 2025/11/28(金) 06:25:40.54","TACO大統領に叱られて口答えしたらあかんよ、早苗ちゃん

【外交】米紙によると日本側は「発言を完全に撤回することは難しい」と米側に説明（WSJ）★２ [１ゲットロボ★]
http://asahi.5ch.net...newsplus/1764221752/",http://asahi.5ch.net/test/read.cgi/newsplus/1764221752/,http://asahi.5ch.net...newsplus/1764221752/,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:mBeyavCP0,2
"垢版
|
0025 名無しどんぶらこ 2025/11/28(金) 06:26:26.14",日本を黙らせなければ大豆買わないって脅したんじゃ,,,,,,,,ID:Mzr7bUUJ0,
"垢版
|
0026 名無しどんぶらこ 2025/11/28(金) 06:26:30.45",高市クビにすれば解決,,,,,,,,ID:KSyzF9Zs0,
"垢版
|
0027 名無しどんぶらこ 2025/11/28(金) 06:26:39.54",トランプ「そんな話はしていない」,,,,,,,,ID:rn5GvwgB0,
"垢版
|
0028 名無しどんぶらこ 2025/11/28(金) 06:26:58.92",つまり高市辞任だな,,,,,,,,ID:F9edQAih0,
"垢版
|
0029 名無しどんぶらこ 2025/11/28(金) 06:27:13.54",">>1
同志クラスノフようやっとる",,>>1,,,,,,ID:LOVom/jV0,
"垢版
|
0030 名無しどんぶらこ 2025/11/28(金) 06:27:20.32",">>23
チャイナは10倍いるアルｗｗｗ",,>>23,,,,,,ID:XCgbd0GT0(2/2),
"垢版
|
0031 名無しどんぶらこ 2025/11/28(金) 06:27:31.64",国難高市政権,,,,,,,,ID:79uuqXo90,
"垢版
|
0032 名無しどんぶらこ 2025/11/28(金) 06:27:48.10","ハル?ノート
ソ連スパイとユダヤルーズベルト
真珠湾攻撃米軍スパイ海軍トップが英米スパイの偽旗作戦",,,,,,,,ID:32Q7xkBb0(1/7),
"垢版
|
0033 警備員[Lv.4][新芽] 2025/11/28(金) 06:27:49.73","防衛も外交も素人なのに首相にしたらあかんな
小泉には防相と外相も経験しといてもらおう",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:Di9CNROZ0,1
"垢版
|
0034 警備員[Lv.13] 2025/11/28(金) 06:27:57.84",">>1
きょーどー",,>>1,,,,,,ID:lJRwErQA0,
"垢版
|
0035 名無しどんぶらこ 2025/11/28(金) 06:28:10.26",日本は何もしてないじゃん。中国か勝手に被害妄想爆発させてるだけだろ。トランプにしたって米軍助けに行くよと言われれば嬉しいだろ。,,,,,,,,ID:kAGOfiyb0,
"垢版
|
0036 名無しどんぶらこ 2025/11/28(金) 06:28:10.55","エスカレートしてるのは中国
日本は何もしてない",,,,,,,,ID:vHUv8c1X0(1/2),
"垢版
|
0037 名無しどんぶらこ 2025/11/28(金) 06:28:13.66","日中の関係が悪化してるってことは米中の関係は良くなってるってことだからトランプは嬉しいだろ
中国はそういう外交バランスを取る国だ",,,,,,,,ID:s03GpuLG0,
"垢版
|
0038 名無しどんぶらこ 2025/11/28(金) 06:28:40.14",">>33
経済もど素人
ほんとゴミ",,>>33,,,,,,ID:dohzZUpb0,
"垢版
|
0039 名無しどんぶらこ 2025/11/28(金) 06:28:42.54","威勢よくイキってたのに
降りる梯子なくなった
女総理の悲しき姿がそこにあったとさ
おしまい",,,,,,,,ID:uxfkxyuR0(2/9),
"垢版
|
0040 名無しどんぶらこ 2025/11/28(金) 06:28:51.58","そりゃ言われるよな
習近平を国賓として迎えようとしてるところに手下が勝手にケンカ売るんだもんな",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:5HRoohjt0(1/2),1
"垢版
|
0041 名無しどんぶらこ 2025/11/28(金) 06:29:29.74","木原官房長官、WSJ報道「そのような事実はない」WSJに抗議★2 [11糖質官房長官?wsjの記者ガー！病院いけやw頭アルミホイルw会話した内容を会話してないと否定するとかもう外交ってレベルじゃないだろ
大阪、高市ショックで逝く。 大阪府観光局「府内のホテル２０社で５０％～７０％のキャンセルが発生している」
白浜町のパンダ、年1億円のレンタル料で40億円の経済効果があった事が判明する?? [616817505]
ひるおび「WSJの記事は中国寄りの記者が書いたかもしれない！情報戦に気をつけろ！??」高市ウォールストリート?ジャーナルが日米電話会談報道の見出しを訂正　台湾関連発言「トーン和らげるように」から「発言抑制するように」
一ビット脳は昆虫並みの知能しかねぇな
悲報】中国で日本のアニメが放映禁止され始める [807233202]
田崎スシロー「WSJの記事は中国よりの記者が書いたかもしれないから鵜呑みにしないように」恵「情報戦ですね」 [931948549前国家公安委員長の政党支部、パチンコ会社や「幽霊会社」から献
[2719124】WSJ「え、ホワイトハウスから聞いたんだけど…」日本政府も認めたのかよ
トランプ大統領、日中対立「沈静化の必要性」に言及。高市氏との電話協議で。複数の日本政府関係者 [256556981]

【悲報】米メディア「高市早苗は外交の泥沼に自ら足を踏み入れた間抜け」 [714769305]【悲報】高市内閣、トランプの顔に泥を塗る対応始める★2 [サークルクラッシャーw]
[93194高市内閣?
、WSJ） 「トランプが高市首相に挑発しないよう助言」 と一斉報道→日本政府は否定wwww [271912485]木原官房長官、WSJ報道（トランプ大統領の高市首相への台湾発言抑制要請）への言及避ける [蚤の市★]【悲報】",,,,,,,,ID:r8Jt0FF00,
"垢版
|
0042 名無しどんぶらこ 2025/11/28(金) 06:29:42.02",">>4
内政干渉って事は台湾有事は米軍抜きの自衛隊だけで戦うのか？ありえないだろ
同盟国の米軍がやるっていうなら参戦するって話であってあくまでも米軍が主体だ
米軍がやらないなら日本もやらないの勘違いしてはいかんね",,>>4,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:HG4gegmu0,1
"垢版
|
0043 名無しどんぶらこ 2025/11/28(金) 06:29:54.92",すでに否定されてるのに　凶道,,,,,,,,ID:NTzibboZ0,
"垢版
|
0044 名無しどんぶらこ 2025/11/28(金) 06:29:57.71",また「そんなことは話してない」ってパターン,,,,,,,,ID:Xt2TYQh+0,
"垢版
|
0045 名無しどんぶらこ 2025/11/28(金) 06:30:17.27",">>40
日本はアメリカの手下でもない",,>>40,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:vHUv8c1X0(2/2),1
"垢版
|
0046 名無しどんぶらこ 2025/11/28(金) 06:30:19.00","つーかトランプに聞きに行けよ
なんか伝言ゲームになってるし",,,,,,,,ID:qhxl8xer0,
"垢版
|
0047 名無しどんぶらこ 2025/11/28(金) 06:30:45.05",とりあえずおやびんの助言に従っておけ,,,,,,,,ID:qALBrdFR0,
"垢版
|
0048 名無しどんぶらこ 2025/11/28(金) 06:31:05.95",アメリカは一度成立しなかった台湾との交流促進法が上院通ったぜ　笑,,,,,,,,ID:jr9Ymx/S0(1/17),
"垢版
|
0049 名無しどんぶらこ 2025/11/28(金) 06:31:39.89",おパヨ様また適当な発言しちゃったな,,,,,,,,ID:jr9Ymx/S0(2/17),
"垢版
|
0050 名無しどんぶらこ 2025/11/28(金) 06:31:41.16",">>45
でもトランプは明確に管理と言った
日本に自覚が無くとも日本はアメリカの管理下にあると言う事だ",,>>45,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:5c0nWVUz0(1/2),1
"垢版
|
0051 名無しどんぶらこ 2025/11/28(金) 06:31:42.05","来春に向けて米中首脳が相互訪問するって事は米中は友好になるわけだから、
日本としても中国といがみ合う理由は無いわけだ。なんかあったっけ？",,,,,,,,ID:MYMr4xDo0,
"垢版
|
0052 名無しどんぶらこ 2025/11/28(金) 06:31:46.98","文化大革命に天安門大虐殺
自国民を平然と大虐殺する中国共産党
シナはこの地球上にあってはならない国！！！

1989年6月4日天安門大虐殺
六四天安門",,,,,,,,ID:kJWGaMUc0(1/2),
"垢版
|
0053 名無しどんぶらこ 2025/11/28(金) 06:31:52.28","対立はどんどん激化した方がいい。今まで中国を甘やかしすぎたから
日本が危うくなってきた",,,,,,,,ID:cFvLGp0j0(1/4),
"垢版
|
0054 名無しどんぶらこ 2025/11/28(金) 06:32:15.79",エスカレートさせてるのは中国だから日本にできるのは落ち着いて大人の対応をするのみ,,,,,,,,ID:VwXindNs0,
"垢版
|
0055 名無しどんぶらこ 2025/11/28(金) 06:32:18.82",">>1

このスレのまとめ　具体的反論が不可能な正論集です

台湾関係でヒステリックな反応が起きている(起こしている）が、
中国のいってることはただのヤクザだが、↓のように言えない日本もまた幼稚だ。
そしてそれらが分からない国民もまた、哲学がなく、感情や利害だけで物事を見る幼稚な人々なのである。

「沖縄に住む人々の大多数は日本に属したいと思っているから日本の一部になっている。
同じように、台湾に住む人々は中国に属したいのであれば日本はそれを尊重するし、
属したくないのであれば、日本はそれを尊重する。
それがその土地に住む人々の意思を尊重することであり、それが幸福につながるのだから。
その土地がどうあるべきかは、その土地の人々がどうしたいかで決めるべきであり、権力者が決めるべきことではない。」
と正論を堂々と言えばよい。
この正論に歯向かった時点で中国は世界から見放されるのだから。

中国のこれまでの言動によって、世界においてのイメージは最低レベルなので、
日本は普通に正論を言えば、ますます中国は世界から危ない国だと思われ、世界は日本の見方になってくれます。
（もはや正しさより自分の利益しか考えないアメリカは、あいまいな態度をとるしかないでしょうがね）
中国につくのはアフリカ諸国などの、中国マネーを正しさより優先するような国だけです。",,>>1,,,,,,ID:8UiIP6SN0(1/3),
"垢版
|
0056 名無しどんぶらこ 2025/11/28(金) 06:32:33.75","共?同?通?信

スパイ防止法必要だわ",,,,,,,,ID:ct+UXbHV0,
"垢版
|
0057 名無しどんぶらこ 2025/11/28(金) 06:32:34.69",ネトウヨいつも負けてんなwwwwwwww,,,,,,,,ID:98nsCOIO0,
"垢版
|
0058 名無しどんぶらこ 2025/11/28(金) 06:32:39.94",日本に無視されてるからってアメリカやフランスに泣きついてるのは大国？としてどうなん？笑,,,,,,,,ID:XdcqJ7I60,
"垢版
|
0059 名無しどんぶらこ 2025/11/28(金) 06:32:43.83","むしろ反米感情が湧いてきた
この高圧的な白豚のせいでアメリカの印象かなり悪くなった",,,,,,,,ID:+ZB0e+2H0(1/3),
"垢版
|
0060 名無しどんぶらこ 2025/11/28(金) 06:32:54.39","習近平の国賓来日がコロナでおじゃんになったように
トランプもシナ行かないし習近平もアメリカ行かないに100コロナ",,,,,,,,ID:kJWGaMUc0(2/2),
"垢版
|
0061 名無しどんぶらこ 2025/11/28(金) 06:32:59.06",アメリカは武器だけ売りたい台湾有事には介入しません,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:32Q7xkBb0(2/7),1
"垢版
|
0062 名無しどんぶらこ 2025/11/28(金) 06:33:01.78",日本政府は反日！,,,,,,,,ID:9m7vyqX80,
"垢版
|
0063 名無しどんぶらこ 2025/11/28(金) 06:33:03.84","コレって、トランプの日本に対する内政干渉やと思うんやけど？
この件に対して高市さんはトランプに対して抗議したんかな？

ひょっとして、高市さんはトランプに内政干渉されっぱなしのまま電話切ったんかな？
もし、抗議無しで電話切ったなら、高市さんダサ過ぎやろコレ
高市自民維新政権は日本の政治史上最高にダサいわ
こんなダサい政権イランわ",,,,,,,,ID:tZ855i3J0,
"垢版
|
0064 名無しどんぶらこ 2025/11/28(金) 06:33:34.24",懸念を伝えたのは普通の話だろ,,,,,,,,ID:auacKj/q0(1/2),
"垢版
|
0065 名無しどんぶらこ 2025/11/28(金) 06:33:34.84","https://www.asahi.co...41XPTCWUTFK00LM.html　
　そもそも25日の日米首脳電話協議直後の日本政府側の説明では、両首脳間で台湾問題をめぐるやりとりがあったことを公式には認めていなかった。朝日新聞が首脳協議の内情を知り得る複数の日本政府関係者を取材したところ、次のような事実関係が判明した。
　25日午前10時から約25分間行われた日米首脳電話協議は同日未明、トランプ氏の申し出で急きょセットされたものだった。トランプ氏は首相に対し、前日24日に中国の習近平（シーチンピン）国家主席と電話で協議した台湾問題について説明。そのうえで、トランプ氏は中国側が首相答弁をめぐって「騒いでいる」（日本政府関係者）との見方を示したうえで、中国側の挑発には乗らずに日米で連携して事態の沈静化を図る必要があるとの認識を示したという。別の政府関係者は「トランプ氏からは『日本は自制せよ』という言い方ではなかった」と語り、首相に対して答弁撤回や修正を求めるような発言は出なかったという。
　外務省幹部は「トランプ氏の訪日による関係構築があったからこそ今回の電話につながった」と語る。とはいえ、習氏の訴えを聞いたトランプ氏が首相にクギを刺した構図になったともいえる。
　政府内では、通商問題で米中関係を重視するトランプ氏が首相答弁に端を発した日中対立の問題に直接的に関与してきたことへの危機感も強い。ある政府関係者は「事態が深刻化すれば、安倍政権から築いてきた強固な日米関係が崩れかねない」と懸念し、トランプ氏が電話協議で首相答弁への支持を打ち出さなかったことは日本側に痛手だったとみる。ただ、対中強硬派で親台湾派の首相と木原稔官房長官にはこうした危機感は薄いとの見方も政府内にある。",https://www.asahi.com/articles/ASTCW41XPTCWUTFK00LM.html,https://www.asahi.co...41XPTCWUTFK00LM.html,,,,,,ID:AQSlyFnt0(1/10),
"垢版
|
0066 名無しどんぶらこ 2025/11/28(金) 06:33:40.26",共同通信だからデマ！,,,,,,,,ID:tq6mFe9P0,
"垢版
|
0067 名無しどんぶらこ 2025/11/28(金) 06:33:57.28",捏造,,,,,,,,ID:ZCqrv67R0,
"垢版
|
0068 名無しどんぶらこ 2025/11/28(金) 06:34:02.52",またまた支持率上がってしまうわ,,,,,,,,ID:UYGV3cpI0,
"垢版
|
0069 名無しどんぶらこ 2025/11/28(金) 06:34:05.30","ぴょん跳ねがアカンかったんとちゃうか
アレ、流石のトランプ大統領も「こいつキッモｗｗ」
って思ったんだろうに",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:uxfkxyuR0(3/9),1
"垢版
|
0070 名無しどんぶらこ 2025/11/28(金) 06:34:54.24","国賓として招待しあう計画を進めている時に
それをぶち壊そうとする高市にトランプがムカつくのは当然だよな",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:yFi5kcb50(1/5),1
"垢版
|
0071 名無しどんぶらこ 2025/11/28(金) 06:35:10.44","そんなことよりトランプがキンペーを国賓招待するとかいう記事はどーなったの共同通信
だれも追随してこないけど
ひょっとしてソースは密接な関係にある支那共産党指導部？",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:ggIV+zXY0,2
"垢版
|
0072 名無しどんぶらこ 2025/11/28(金) 06:35:15.91","日本の主要メディアは本来なら免許剥奪が相当。
あまりにも酷すぎる",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:cFvLGp0j0(2/4),1
"垢版
|
0073 名無しどんぶらこ 2025/11/28(金) 06:35:24.58",">>61
グアムやサイパンやハワイの近くまで中国の潜水艦や軍艦が来るようになるからそれはない",,>>61,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:MlQEIDUa0,1
"垢版
|
0074 名無しどんぶらこ 2025/11/28(金) 06:35:26.93",中国人観光客が消えたらムスリムが目立つなw,,,,,,,,ID:F8ZSFHaT0,
"垢版
|
0075 名無しどんぶらこ 2025/11/28(金) 06:35:29.08",バカ市無念ｗ,,,,,,,,ID:NEtp+oJ70,
"垢版
|
0076 名無しどんぶらこ 2025/11/28(金) 06:35:43.41","【速報】 トランプ米大統領が高市首相に、台湾巡り助言したという報道は事実ではない　日本政府が否定 ★3 [お断り★]
https://asahi.5ch.ne...newsplus/1764244319/",https://asahi.5ch.net/test/read.cgi/newsplus/1764244319/,https://asahi.5ch.ne...newsplus/1764244319/,,,,,,ID:Rl5vMb1I0(1/4),
"垢版
|
0077 名無しどんぶらこ 2025/11/28(金) 06:35:50.27",その日の官房長官の定例記者会見で否定しているのに「日本政府関係者」の談話として記事化する意味とは…,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:n8mS9Krn0(1/6),1
"垢版
|
0078 名無しどんぶらこ 2025/11/28(金) 06:36:07.46",まあ、ミンス時代の総理よりはずっと優秀だからな,,,,,,,,ID:jr9Ymx/S0(3/17),
"垢版
|
0079 名無しどんぶらこ 2025/11/28(金) 06:36:12.94",">>70
日本関係なくて草",,>>70,,,,,,ID:SMPLgo7E0,
"垢版
|
0080 名無しどんぶらこ 2025/11/28(金) 06:36:19.08","完全に壺市の空気嫁だけど、ブレたらアカン
もしブレたらリベラルビジ保認定だから",,,,,,,,ID:e8iw82VK0(1/2),
"垢版
|
0081 名無しどんぶらこ 2025/11/28(金) 06:36:26.16",正にバカ市さなえwww,,,,,,,,ID:oRzB/F+30(1/38),
"垢版
|
0082 名無しどんぶらこ 2025/11/28(金) 06:36:40.54",韓国の反中デモは報じないの？,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:tLbBuzHQ0(1/2),1
"垢版
|
0083 名無しどんぶらこ 2025/11/28(金) 06:36:41.49","日中関係どころか日米関係すら危うくしかねないのに高市と木原はピンときてないようだから
外務官僚たちが日米電話会談の内容をWSJや朝日や共同にリークして追い詰めようとしてる、というところだな",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:AQSlyFnt0(2/10),1
"垢版
|
0084 名無しどんぶらこ 2025/11/28(金) 06:36:49.56",">>77
共同通信が中華の意向で動いてるいつもの風景",,>>77,,,,,,ID:Rl5vMb1I0(2/4),
"垢版
|
0085 名無しどんぶらこ 2025/11/28(金) 06:37:09.62","国民に正しい事を伝えない大本営発表じゃアカンな
これはかなりの痛手になる",,,,,,,,ID:6Cak9klZ0(1/4),
"垢版
|
0086 名無しどんぶらこ 2025/11/28(金) 06:37:27.35","君子危うきに近寄らずって言うだろ
誰が悪いとかじゃなくてわざわざイキってトラブル招いてるのが馬鹿なんだよ",,,,,,,,ID:EmYvehLq0(1/2),
"垢版
|
0087 名無しどんぶらこ 2025/11/28(金) 06:37:27.68","あれ？木原と言ったことと違うよ
おまえら木原を信じるんだよね
木原、高市のケツ拭きで死んじゃいそう",,,,,,,,ID:cjjPousD0(1/3),
"垢版
|
0088 名無しどんぶらこ 2025/11/28(金) 06:37:39.45",">>71
ビビってるシナがいつ来たいかの回答待ちだろ",,>>71,,,,,,ID:jr9Ymx/S0(4/17),
"垢版
|
0089 名無しどんぶらこ 2025/11/28(金) 06:37:45.84","米中の貿易問題もようやく纏まる兆しを見せ
お互いに国賓として自国に招こうとしてる時に
横からそれをぶち壊そうとする高市にトランプがキレるのは当然",,,,,,,,ID:yFi5kcb50(2/5),
"垢版
|
0090 名無しどんぶらこ 2025/11/28(金) 06:37:48.20",">>82
韓国とネトウヨ一緒の事してんだってなwww",,>>82,,,,,,ID:oRzB/F+30(2/38),
"垢版
|
0091 名無しどんぶらこ 2025/11/28(金) 06:37:53.58",トランプはキンペーの舎弟に成り下がったんか,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:2NcydjYU0,1
"垢版
|
0092 名無しどんぶらこ 2025/11/28(金) 06:38:03.01",">>4
鳩山元首相が絶句…腹心の官僚が自分を裏切り、じつは忠誠を誓っていた「意外すぎる相手」
https://gendai.media...icles/-/122712?imp=0",https://gendai.media/articles/-/122712?imp=0,>>4,,https://gendai.media...icles/-/122712?imp=0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:LvasirBo0(1/4),1
"垢版
|
0093 名無しどんぶらこ 2025/11/28(金) 06:38:08.85",虎の威を借る早苗w,,,,,,,,ID:cB4JntHa0,
"垢版
|
0094 名無しどんぶらこ 2025/11/28(金) 06:38:11.27","つまり

日本はもう 東アジアのリーダーではないってことな",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:+HUW2pI30,2
"垢版
|
0095 名無しどんぶらこ 2025/11/28(金) 06:38:28.22","言った言わないみたいな感じになってるじゃんｗ
ただ、今のところ言った派の方は匿名だからなあ",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:nZWc3Var0(1/2),1
"垢版
|
0096 名無しどんぶらこ 2025/11/28(金) 06:38:31.45","ロイター
トランプ氏、高市氏に日中関係の状況悪化望まずと伝達　25日の電話会談＝関係筋

WSJ
トランプ氏、台湾巡り日本に抑制求める　習氏と会談後
日本の当局者はトランプ氏のメッセージに懸念を示す

朝日
独自
トランプ氏、日中対立「沈静化の必要性」に言及　高市氏と電話協議

47NEWS
【独自】トランプ氏、日中の対立を懸念　首相に「エスカレート回避を」

産経ニュース
米中を「G2」と表現 習近平氏との首脳会談を「素晴らしかった」と評価",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:4x0PVMK20(2/4),1
"垢版
|
0097 名無しどんぶらこ 2025/11/28(金) 06:38:40.30","結局助言ないし釘刺しないしそれに近いニュアンスのことを言われたわけだろ？
高市も無理に否定したところで不倫した芸能人が第2弾第3弾の記事で更に追い詰められるとかにならなきゃ良いがね",,,,,,,,ID:2Eh39y/z0,
"垢版
|
0098 名無しどんぶらこ 2025/11/28(金) 06:38:46.77","他国の大統領に黙ってろと叱られる総理大臣ってどうよ
恥ずかしくてしゃーない",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:aa0TnKmm0(1/2),1
"垢版
|
0099 名無しどんぶらこ 2025/11/28(金) 06:38:51.89",">>71
そんなことより○○がー
ネトウヨ高市仕草入りましたwww",,>>71,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:oRzB/F+30(3/38),1
