css-1jxf684,css-175oi2r href,css-9pa8cd src,css-175oi2r href (2),css-1jxf684 (2),css-1jxf684 (3),css-1jxf684 (4),css-1jxf684 href,css-1jxf684 (5),css-1jxf684 href (2),css-1jxf684 (6),css-1jxf684 href (3),css-1jxf684 (7),css-1jxf684 href (4),css-1jxf684 (8),css-1jxf684 href (5),css-1jxf684 (9),css-1jxf684 href (6),css-1jxf684 (10),css-1jxf684 (11),css-1jxf684 href (7),css-1jxf684 (12),css-1jxf684 href (8),css-1jxf684 (13),css-1jxf684 href (9),css-1jxf684 (14),css-1jxf684 (15),css-1jxf684 (17),css-1jxf684 (19),css-1jxf684 (21),css-146c3p1 href,css-146c3p1,css-175oi2r href (4),css-9pa8cd src (2),css-175oi2r href (5),r-4qtqp9 src,r-4qtqp9 src (2),r-4qtqp9 src (3),r-4qtqp9 src (4),r-4qtqp9 src (5),r-4qtqp9 src (6),r-4qtqp9 src (7),r-4qtqp9 src (8),r-4qtqp9 src (9),css-146c3p1 (2),css-146c3p1 href (2),css-9pa8cd src (3),css-175oi2r href (6),css-9pa8cd src (4),css-175oi2r href (7),css-9pa8cd src (5),css-1jxf684 (22),css-1jxf684 (23),r-4qtqp9 src (10),css-1jxf684 (24),css-1jxf684 (26),css-1jxf684 (25),css-1jxf684 (27),css-1jxf684 (28),css-1jxf684 (29),css-1jxf684 (30),css-1jxf684 (31),css-1jxf684 (32),css-1jxf684 (33),css-1jxf684 (34),css-1jxf684 (35),css-1jxf684 (36),css-1jxf684 (37),css-1jxf684 (38),css-146c3p1 (3)
非国民ハマーン【参政党は論外】@,https://x.com/masirito22,https://pbs.twimg.com/profile_images/1746165346053369856/xojCb0o__x96.jpg,https://x.com/masirito22,@masirito22,·,立川志らく、,https://x.com/hashtag/%E3%81%B2%E3%82%8B%E3%81%8A%E3%81%B3?src=hashtag_click,#ひるおび,,,,,,,,,,,高市,,,,,,,早苗,を批判する議員や国民は『本当に日本人か』などと,発言,。政権のプロパガンダ番組であり、BPO案件レベルでは。,https://x.com/masirito22/status/1992800958699720952,11月24日,https://x.com/masirito22/status/1992800958699720952/photo/1,https://pbs.twimg.com/media/G6fZ6KVa8AA60A0?format=jpg&name=medium,https://x.com/masirito22/status/1992800958699720952/analytics,https://abs-0.twimg.com/emoji/v2/svg/26c4.svg,https://abs-0.twimg.com/emoji/v2/svg/1f35c.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武田砂鉄,https://x.com/takedasatetsu,https://pbs.twimg.com/profile_images/503173711512363008/sZP6bkJM_x96.png,https://x.com/takedasatetsu,@takedasatetsu,·,所信表明演説で「政治とは、独断ではなく、共に語り、共に悩み、共に決める営みです」と語った,,,,,,,,,,,,,高市,,,,,,,早苗,首相。その首相を熱烈に支持する雑誌は「,122,の敵は日本の敵！」と煽る。,https://x.com/takedasatetsu/status/1981961289061859344,10月25日,https://x.com/takedasatetsu/status/1981961289061859344/photo/1,https://pbs.twimg.com/media/G4FXSYzW0AEouew?format=jpg&name=medium,https://x.com/takedasatetsu/status/1981961289061859344/analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumi1111𑁍 𑁍 𑁍,https://x.com/kumi11117777,https://pbs.twimg.com/profile_images/1866063928712900608/B7mgDkb3_x96.jpg,https://x.com/kumi11117777,@kumi11117777,·,"経済的理由で日本に来て
難民を名乗る外国人は
一切受け入れない
難民政策は一旦停止にする
公言しました
我々日本の文化が変わって来ている
一旦一から考えなおし
お互い穏やかな関係でいたいのでと語りました",,,,,,,,,,,,,高市,,,,,,,早苗,ホッとしますね,258,"8,492",https://x.com/kumi11117777/status/1992903051808743859,11月24日,,https://pbs.twimg.com/ext_tw_video_thumb/1992902974449074176/pu/img/7L-bdlb3aLC1WScb.jpg,https://x.com/kumi11117777/status/1992903051808743859/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f499.svg,https://abs-0.twimg.com/emoji/v2/svg/1f408-200d-2b1b.svg,https://abs-0.twimg.com/emoji/v2/svg/1f499.svg,https://abs-0.twimg.com/emoji/v2/svg/1f390.svg,https://abs-0.twimg.com/emoji/v2/svg/1f60c.svg,https://abs-0.twimg.com/emoji/v2/svg/1f4ad.svg,https://abs-0.twimg.com/emoji/v2/svg/1f33f.svg,https://abs-0.twimg.com/emoji/v2/svg/1f42f.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1f8.svg,,,,,,,,,,,,,,,,,,,,,,,,,,
あらかわ,https://x.com/kazu10233147,https://pbs.twimg.com/profile_images/1048542168871104513/kSRdR7aH_x96.jpg,https://x.com/kazu10233147,@kazu10233147,·,「国の品格として食料品の消費税率は〇%にするべき」と５月に,,,,,,,,,,,,,高市,,,,,,,早苗,"したが「レジシステムの改修」理由を捏造し〇%を拒否。
また教育勅語について「正しい価値観」としていたが、これも「修正」。",発言,244,https://x.com/kazu10233147/status/1986397663240347681,11月6日,,https://pbs.twimg.com/ext_tw_video_thumb/1986397531673427968/pu/img/udWFF44K3YxEyeAt.jpg,https://x.com/kazu10233147/status/1986397663240347681/analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柚子姫,https://x.com/pDyvhzFJAIAJe90,https://pbs.twimg.com/profile_images/1792798787972583424/vFwqU0Z7_x96.jpg,https://x.com/pDyvhzFJAIAJe90,@pDyvhzFJAIAJe90,·,内閣発足から1か月。この国は悪くなる方向へ一気に加速した。,https://x.com/i/status/1946807316340511136,,,,,,,,,,,,高市,,,,,,,高市,特に思うのは戦争への危機感が高まったこと。そう、ご存じ,早苗,のあの,https://x.com/pDyvhzFJAIAJe90/status/1993799847565283744,11月27日,,https://pbs.twimg.com/amplify_video_thumb/1946807251874017280/img/kQfmg1vaeK3xnfAA.jpg,https://x.com/pDyvhzFJAIAJe90/status/1993799847565283744/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f43e.svg,,,,,,,,,"来自 
ふっちゃん@anti-racism",,,,,,,,,,,,,,,,,,,,,,,,,
CGTN JAPANESE,https://x.com/CgtnJapanese,https://pbs.twimg.com/profile_images/1866401737931988992/pYiYWqgr_x96.jpg,https://x.com/CgtnJapanese,@CgtnJapanese,·,【中国は日本側の勝手な言い訳を絶対に受け入れない=外交部】外交部の郭嘉昆報道官は11月27日の記者会見で、日本の野党党首が,,,,,,,,,,,,,高市,,,,,,,早苗,首相について、国会での討論の際に台湾問題の,発言,について具体的に言及しなくなったことを「事実上、前回の答弁を撤回した」と評したことについて、,https://x.com/CgtnJapanese/status/1994002734228406471,12小时,https://x.com/CgtnJapanese/status/1994002734228406471/photo/1,https://pbs.twimg.com/media/G6we5UyXYAAtonD?format=jpg&name=medium,https://x.com/CgtnJapanese/status/1994002734228406471/analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渡辺康平　福島県議会議員（須賀川市、鏡石町、天栄村選挙区）,https://x.com/kohei_w1985,https://pbs.twimg.com/profile_images/1851523410045870080/Q9-bDD-X_x96.jpg,https://x.com/kohei_w1985,@kohei_w1985,·,日テレ、バンキシャ中国特集ですが、バランス取れていない。中国側の主張ばかり取り上げ、,https://x.com/hashtag/%E3%83%90%E3%83%B3%E3%82%AD%E3%82%B7%E3%83%A3?src=hashtag_click,#バンキシャ,https://x.com/hashtag/NNN?src=hashtag_click,#NNN,https://x.com/hashtag/%E6%97%A5%E3%83%86%E3%83%AC?src=hashtag_click,#日テレ,,,,,,,高市,,,,,,,発言,政権の,高市,がほとんどない。,https://x.com/kohei_w1985/status/1989986689885032709,11月16日,,,https://x.com/kohei_w1985/status/1989986689885032709/analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ぴろん,https://x.com/pirooooon3,https://pbs.twimg.com/profile_images/1975374560418783232/5IB-lIk1_x96.jpg,https://x.com/pirooooon3,@pirooooon3,·,"【速報】中国関係筋
『",,,,,,,,,,,,,高市,,,,,,,発言,の,高市,"の撤回が無ければレアアース禁輸などの経済制裁をする』

テレビ局が",https://x.com/pirooooon3/status/1990255780428468382,11月17日,https://x.com/pirooooon3/status/1990255780428468382/photo/1,https://pbs.twimg.com/media/G57PFctbIAAdvI0?format=jpg&name=medium,https://x.com/pirooooon3/status/1990255780428468382/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f1ef-1f1f5.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
シンヤ #選挙に行こう #裏金議員全員やめろ,https://x.com/yamagoya1029726,https://pbs.twimg.com/profile_images/1259836509751894016/phtbTbwl_x96.jpg,https://x.com/yamagoya1029726,@yamagoya1029726,·,裏金問題については都合が悪く立場が不利、形成逆転のために話を脱線させすり替えるという一国の首相がやることではない。,https://x.com/hashtag/%E9%AB%98%E5%B8%82%E6%97%A9%E8%8B%97%E3%81%AE%E8%AD%B0%E5%93%A1%E8%BE%9E%E8%81%B7%E3%82%92%E6%B1%82%E3%82%81%E3%81%BE%E3%81%99?src=hashtag_click,の議員辞職を求めます,https://x.com/hashtag/%E3%81%9D%E3%82%93%E3%81%AA%E3%81%93%E3%81%A8%E3%82%88%E3%82%8A%E9%AB%98%E5%B8%82%E3%82%84%E3%82%81%E3%82%8D?src=hashtag_click,#そんなことより,https://x.com/hashtag/%E3%81%9D%E3%82%93%E3%81%AA%E3%81%93%E3%81%A8%E3%82%88%E3%82%8A%E9%AB%98%E5%B8%82%E3%82%84%E3%82%81%E3%82%8D?src=hashtag_click,やめろ,https://x.com/hashtag/%E9%AB%98%E5%B8%82%E6%97%A9%E8%8B%97%E3%81%AE%E8%AD%B0%E5%93%A1%E8%BE%9E%E8%81%B7%E3%82%92%E6%B1%82%E3%82%81%E3%81%BE%E3%81%99?src=hashtag_click,#高市,https://x.com/hashtag/%E9%AB%98%E5%B8%82%E6%97%A9%E8%8B%97%E3%81%AE%E8%AD%B0%E5%93%A1%E8%BE%9E%E8%81%B7%E3%82%92%E6%B1%82%E3%82%81%E3%81%BE%E3%81%99?src=hashtag_click,早苗,https://x.com/hashtag/%E3%81%9D%E3%82%93%E3%81%AA%E3%81%93%E3%81%A8%E3%82%88%E3%82%8A%E9%AB%98%E5%B8%82%E3%82%84%E3%82%81%E3%82%8D?src=hashtag_click,高市,高市首相「そんなことより」に反発続々　朝日新聞、立民・蓮舫氏、共産・田村氏　党首討論（産経新聞） - Yahoo!ニュース,https://x.com/hashtag/%E9%AB%98%E5%B8%82%E3%82%84%E3%82%81%E3%82%8D?src=hashtag_click,#高市,https://x.com/hashtag/%E9%AB%98%E5%B8%82%E3%82%84%E3%82%81%E3%82%8D?src=hashtag_click,やめろ,https://x.com/hashtag/Yahoo%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B9?src=hashtag_click,#Yahooニュース,4,,1,,https://x.com/yamagoya1029726/status/1994195417710432304,3分钟,https://t.co/r4I5677eWI,https://pbs.twimg.com/card_img/1994167427379445760/QhWhVDQU?format=jpg&name=medium,https://x.com/yamagoya1029726/status/1994195417710432304/analytics,,,,,,,,,,,https://t.co/r4I5677eWI,,,,,,,,,,,,,,,,,,,,,,,,
ぴろん,https://x.com/pirooooon3,https://pbs.twimg.com/profile_images/1975374560418783232/5IB-lIk1_x96.jpg,https://x.com/pirooooon3,@pirooooon3,·,"中国人観光客のキャンセルで
ホテルは2000万くらいの損失 

これって中国が一方的に
自粛させたことです
日本は悪いですか？
①悪くない
②悪い
③その他",,,,,,,,,,,,,高市,,,,,,,早苗,首相の,発言,"も
今までの日本政府の
方針を言っただけ
撤回すれば
台湾有事に自衛行動が出来なくなる
中国にやられ放題になる",https://x.com/pirooooon3/status/1993483091713876160,11月26日,,https://pbs.twimg.com/ext_tw_video_thumb/1993483037598986240/pu/img/yWZ64wwisyjsERWC.jpg,https://x.com/pirooooon3/status/1993483091713876160/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f1ef-1f1f5.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごくひん,https://x.com/gk130409,https://pbs.twimg.com/profile_images/1992353322423246848/AOP9NMNs_x96.jpg,https://x.com/gk130409,@gk130409,·,の存立危機,https://t.co/PeJdudQZHq,"https://
tweetsoku.news/2025/11/17/gdp
-0-36-2-2000/
…",,,,,,,,,,,高市,,,,,,,早苗,"により
観光業だけで日本のGDPが
0.36%（2兆2000億円）吹き飛ぶ見込み",発言,"別にいいんじゃね？
こんな感じで、
最初から日本に現金が入らないのだから
ほとんど影響もないでしょう",https://x.com/gk130409/status/1990355423908815286,11月17日,https://x.com/gk130409/status/1990355423908815286/photo/1,https://pbs.twimg.com/media/G58ptV6bEAAaKXO?format=jpg&name=medium,https://x.com/gk130409/status/1990355423908815286/analytics,,,,,https://abs-0.twimg.com/emoji/v2/svg/1f612.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愛国心の足りないなまけ者 にきめっ！,https://x.com/tacowasa2nd,https://pbs.twimg.com/profile_images/1907105858690904064/mmYqvmKM_x96.jpg,https://x.com/tacowasa2nd,@tacowasa2nd,·,"実は岡田が悪いって言ってる奴らが、一番高市を馬鹿にしてんだよね。

だって彼らの言い分だと、",,,,,,,,,,,,,高市,,,,,,,早苗,は岡田の罠にまんまと嵌まって何も考えずに,発言,しただけの間抜けだと、そう言ってるわけだからな。,https://x.com/tacowasa2nd/status/1993221603119812696,11月25日,,,https://x.com/tacowasa2nd/status/1993221603119812696/analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勇気,https://x.com/iloveyoulove777,https://pbs.twimg.com/profile_images/1189311781220388866/NpstPP-8_x96.jpg,https://x.com/iloveyoulove777,@iloveyoulove777,·,【高市自民】中国憤慨の,https://x.com/hashtag/%E3%83%A2%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0%E3%82%B7%E3%83%A7%E3%83%BC?src=hashtag_click,#モーニングショー,https://t.co/dgp3xsZRsa,"https://
news.yahoo.co.jp/articles/f2e77
54a72b58ce9ad77598b334eacbb2a6ae13f
…",,,,,,,,,高市,,,,,,,発言,→日本民間に大損害　中国観光客がキャンセル料拒否→ホテル泣き寝入りも,高市,"玉川徹「そもそも天災じゃないんでね、自然災害じゃない。人災でしょ。その責任はどうなってくるんだ」

全て",https://x.com/iloveyoulove777/status/1993140520122827090,11月25日,https://x.com/iloveyoulove777/status/1993140520122827090/photo/1,https://pbs.twimg.com/media/G6kOvXLbwAEi0Cu?format=jpg&name=medium,https://x.com/iloveyoulove777/status/1993140520122827090/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f1ef-1f1f5.svg,https://abs-0.twimg.com/emoji/v2/svg/1f38c.svg,,,https://abs-0.twimg.com/emoji/v2/svg/2757.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ビリケン,https://x.com/Hawaihimelove,https://pbs.twimg.com/profile_images/1282885611171414017/tqrNbFPq_x96.jpg,https://x.com/Hawaihimelove,@Hawaihimelove,·,中国が､台湾問題で,,,,,,,,,,,,,高市,,,,,,,早苗,"首相にヤマ返されて
フランスに支持してくれるように要請したらしい

｢",高市,首相の台湾に関する最近の,https://x.com/Hawaihimelove/status/1994167434505527636,1小时,https://x.com/Hawaihimelove/status/1994167434505527636/photo/1,https://pbs.twimg.com/media/G6y0tg7a0AE2VYq?format=jpg&name=small,https://x.com/Hawaihimelove/status/1994167434505527636/analytics,,,,,,,,,,,,https://pbs.twimg.com/media/G6y0tg6bkAAAgOf?format=jpg&name=360x360,https://x.com/Hawaihimelove/status/1994167434505527636/photo/3,https://pbs.twimg.com/media/G6y0tg6a0AEeo32?format=jpg&name=small,https://x.com/Hawaihimelove/status/1994167434505527636/photo/4,https://pbs.twimg.com/media/G6y0tg7aoAAX3y1?format=jpg&name=900x900,,,,,,,,,,,,,,,,,,,
小林ゆみ 政党無所属 杉並区議会議員,https://x.com/yumi_kobayashi_,https://pbs.twimg.com/profile_images/1964135038439829505/G96h-9J9_x96.jpg,https://x.com/yumi_kobayashi_,@yumi_kobayashi_,·,"岸本聡子 杉並区長は、本日
「",,,,,,,,,,,,,高市,,,,,,,早苗,"総理大臣のせいで、これまで築き上げてきた日中関係が緊張状態に陥っており、心配している」
という主旨の",発言,を杉並区議会本会議で行いましたが、,https://x.com/yumi_kobayashi_/status/1993517160875147695,11月26日,,,https://x.com/yumi_kobayashi_/status/1993517160875147695/analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ℛ ༘まな ᕱ⑅ᕱ:.* ♡,https://x.com/RoseVivienelove,https://pbs.twimg.com/profile_images/1596350257851695104/Ws65nDbQ_x96.jpg,https://x.com/RoseVivienelove,@RoseVivienelove,·,高市首相の,https://x.com/hakubun_s,,,,,,,,,,,,発言,,,,,,,高市,の撤回と、辞任を求めます,早苗,日本は台湾有事には関与しませんよ,https://x.com/RoseVivienelove/status/1992033021512630651,11月22日,https://x.com/RoseVivienelove/status/1992033021512630651/photo/1,https://pbs.twimg.com/media/G6UfePAbUAEjE7i?format=jpg&name=small,https://x.com/RoseVivienelove/status/1992033021512630651/analytics,https://abs-0.twimg.com/emoji/v2/svg/2665.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1f8.svg,https://abs-0.twimg.com/emoji/v2/svg/2757.svg,https://abs-0.twimg.com/emoji/v2/svg/2757.svg,https://abs-0.twimg.com/emoji/v2/svg/2757.svg,https://abs-0.twimg.com/emoji/v2/svg/2757.svg,,,,"回复 
@hakubun_s",,https://pbs.twimg.com/media/G6UfeO1boAAS5s5?format=jpg&name=900x900,https://x.com/RoseVivienelove/status/1992033021512630651/photo/3,https://pbs.twimg.com/media/G6UfeO7a0AA0lWT?format=jpg&name=small,https://x.com/RoseVivienelove/status/1992033021512630651/photo/4,https://pbs.twimg.com/media/G6UfeO-a0AAdkOn?format=jpg&name=small,,,,,,,,,,,,,,,,,,,
