css-1jxf684,css-1jxf684 (2),css-146c3p1 href,css-146c3p1,css-1jxf684 (4),css-1jxf684 (5),css-1jxf684 (6),css-1jxf684 (7),css-1jxf684 (8),css-175oi2r href (4),css-1jxf684 (9),css-9pa8cd src (2),css-1jxf684 href,css-1jxf684 (10),css-146c3p1 (2),css-1jxf684 (11),css-1jxf684 (12),css-1jxf684 (13),r-4qtqp9 src,r-4qtqp9 src (2),css-9pa8cd src (3),css-1jxf684 href (2),css-146c3p1 href (2),css-175oi2r href (5),css-9pa8cd src (4),css-175oi2r href (6),css-175oi2r href (7),css-9pa8cd src (5),r-4qtqp9 src (3),r-4qtqp9 src (4),css-146c3p1 (3),css-1jxf684 (15),css-1jxf684 (16),css-1jxf684 (17),css-1jxf684 (14),r-4qtqp9 src (5),r-4qtqp9 src (6),css-175oi2r href (8),css-1jxf684 href (3),css-1jxf684 (18),css-1jxf684 (19),css-9pa8cd src (6),css-1jxf684 (20),css-1jxf684 href (4),css-1jxf684 href (5),r-4qtqp9 src (7),r-4qtqp9 src (8),r-4qtqp9 src (9),r-4qtqp9 src (10)
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1988908080906764424,11月13日,"今日は参議院予算委員会の２日目です。
与野党８名の議員の皆様から質問をお受けしました。
官邸に戻った後はフィジーのランブカ首相をお迎えし、私にとって初となる太平洋島嶼国地域の首脳との会談を行いました。
フィジーは、「自由で開かれたインド太平洋」を実現する上で重要なパートナーです。",显示更多,"3,182","5,812",6.9万,https://x.com/takaichi_sanae/status/1988908080906764424/analytics,195万,https://pbs.twimg.com/media/G5oFIc2acAIdnPh?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1988908080906764424/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1988594507936641368,11月12日,"今日からは参議院の予算委員会。
襟にパープルリボンバッジを着けて臨みました。
今月１２日から１８日までは「女性に対する暴力をなくす運動」の期間です。
年齢?性別を問わず、ＤＶや性暴力の被害でお悩みの方は、相談窓口（?８００８、?８８９１）にお電話ください。",显示更多,"2,098","6,718",7.1万,https://x.com/takaichi_sanae/status/1988594507936641368/analytics,565万,https://pbs.twimg.com/media/G5je8I9bMAAt04G?format=jpg&name=small,https://t.co/EzxIgIBNmC,…,,,,,,,,,,https://x.com/takaichi_sanae/status/1988594507936641368/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1988214655551262993,11月11日,"I am in deep sorrow to learn that many precious lives were lost in the explosion that occurred in Delhi, India.
On behalf of the Government and people of Japan, I would like to express my heartfelt condolences to the victims and their bereaved families. I also offer my sincere",显示更多,"1,137","4,221",4.8万,https://x.com/takaichi_sanae/status/1988214655551262993/analytics,233万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1988212566959558828,11月11日,"今日の閣議において、公務員の給与改定に関する取扱方針を決定しました。
人事院勧告のとおり、一般職の公務員の給与を平均3.62％引き上げます。
一方で、閣僚等については、議員歳費を超える分は受け取らないことにしました。",显示更多,"4,296",1.4万,13万,https://x.com/takaichi_sanae/status/1988212566959558828/analytics,"1,595万",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1988001150948569223,11月11日,"昨日も９時から１７時までは衆議院予算委員会で答弁、終了後は自民党役員会に出席しました。
夜は官邸に戻って日本成長戦略本部に設けられた日本成長戦略会議。
有識者の方にもご参加いただく形で始動しました。",显示更多,"3,679","9,199",10万,https://x.com/takaichi_sanae/status/1988001150948569223/analytics,278万,https://pbs.twimg.com/media/G5bMZHQbcAAeFkg?format=jpg&name=900x900,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1988001150948569223/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1987439808633852033,11月9日,"１７時０３分頃、三陸沖を震源とする地震が発生しました。
岩手県?宮城県で震度４を観測し、直ちに情報連絡室を官邸に設置しています。
津波注意報が発令されましたので、すぐに海岸から離れてください。
今後到達する津波が予想より大きくなる可能性があるので、今後の情報に注意してください。",显示更多,"2,053","9,376",9.9万,https://x.com/takaichi_sanae/status/1987439808633852033/analytics,502万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1987086417248632894,11月8日,"自民党総裁に就任した日から総裁車、総理に就任した日から総理車にしか乗れない事となり、自分の車は使えなくなりました。
宿舎から出ると、ドライバーさんや警護官に迷惑がかかる事から、公式行事が無い週末は、宿舎内の自室や会議室で仕事をする事にしています。",显示更多,1万,3.8万,45万,https://x.com/takaichi_sanae/status/1987086417248632894/analytics,"2,282万",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1986788914687005011,11月7日,"私事ですが、夫が秋の叙勲で勲章を賜ることになりました。
ＳＮＳ等で「総理大臣の夫だから？」との憶測も見られますが、叙勲の閣議決定は、私が総理に就任する前の石破内閣の時です。
農林水産副大臣や衆議院で何度も委員長を務めた夫は、春の叙勲を楽しみにしていました。",显示更多,"7,172",4万,51万,https://x.com/takaichi_sanae/status/1986788914687005011/analytics,"2,240万",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1986787738830442640,11月7日,"今日は衆議院予算委員会の初日でした。
大量の答弁書の完成が午前３時頃になる見込みと聞き、朝８時からの会議や閣議までに読み切る必要から、限られたスタッフとともに公邸でペンを入れ修正してから臨みました。
「経済安全保障推進会議」の初会合も開催しました。",显示更多,"3,381",1万,10万,https://x.com/takaichi_sanae/status/1986787738830442640/analytics,427万,https://pbs.twimg.com/media/G5J8uldbgAEKzIN?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1986787738830442640/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1986375429104771406,11月6日,"Thank you for your warm words,",显示更多,"1,371","4,169",3.6万,https://x.com/takaichi_sanae/status/1986375429104771406/analytics,129万,https://pbs.twimg.com/media/G5EEweibIAAKNpZ?format=png&name=360x360,https://x.com/realDonaldTrump,", we will usher in a New Golden Age of the Japan-U.S. Alliance.",,,. It was my great honor as well to welcome you to Japan and meet you in person! I’m confident that together with,,https://abs-0.twimg.com/emoji/v2/svg/2728.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1ef-1f1f5.svg,,https://x.com/realDonaldTrump,,https://x.com/takaichi_sanae/status/1986375429104771406/photo/1,,,,,https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1f8.svg,https://abs-0.twimg.com/emoji/v2/svg/2728.svg,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1986067536853791160,11月5日,"今日は、午前は参議院、午後は衆議院で、合計約６時間の各党の代表質問に対する答弁を続けました。
喉が渇き過ぎて、夕方には変な声になってしまった…。
夜には、ゼレンスキー?ウクライナ大統領、メローニ?イタリア首相と電話で首脳会談を行いました。",显示更多,"5,247",1.1万,14万,https://x.com/takaichi_sanae/status/1986067536853791160/analytics,655万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1985673059924398200,11月4日,"今朝、閣議の後に、「日本成長戦略本部」の初会合を開催しました。
日本経済の供給力を抜本的に強化し、所得を増やし、消費マインドを改善させ、事業収益が上がり、税率を上げずとも税収を増加させることを目指し、高市内閣の成長戦略を始動させます。",显示更多,"2,642","6,869",6.2万,https://x.com/takaichi_sanae/status/1985673059924398200/analytics,218万,https://pbs.twimg.com/media/G46GP-6bQAA0CZJ?format=jpg&name=900x900,,,,,,,,,https://pbs.twimg.com/media/G46GYdmbYAAKF8H?format=jpg&name=small,,,https://x.com/takaichi_sanae/status/1985673059924398200/photo/1,https://pbs.twimg.com/media/G46GbI_bQAU1oax?format=jpg&name=900x900,https://x.com/takaichi_sanae/status/1985673059924398200/photo/2,https://x.com/takaichi_sanae/status/1985673059924398200/photo/3,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1985624738681807219,11月4日,"ムハンマド大統領から頂いた温かいお祝いのお言葉に、心から感謝申し上げます。日本とＵＡＥは長年にわたる友好関係を築いており、両国の包括的?戦略的パートナーシップに基づき、二国間の協力を一層深化させるため、殿下と緊密に連携していく所存です。

????? ????? ????? ???????? ??? ?????",显示更多,373,"2,922",4.5万,https://x.com/takaichi_sanae/status/1985624738681807219/analytics,292万,https://pbs.twimg.com/profile_images/1514886570960162816/CLc-rIB__normal.jpg,,·,2025/10/21,高市早苗氏が日本国首相に就任されたことを心よりお祝い申し上げます。日本国民のために、日本をさらなる発展と繁栄へと導かれることをお祈りいたします。今後とも、包括的戦略的パートナーシップのもと、UAEと日本の関係を一層強化?発展させ、両国と両国民の幸福と繁栄のために協力できることを楽し,@MohamedBinZayed,引用,,,,,https://x.com/MohamedBinZayed/status/1980499355640709121,,,,,,,,回复 @MohamedBinZayed,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1985620062963974432,11月4日,マクロン大統領から頂いた温かいお祝いのお言葉に感謝申し上げます。特別なパートナーであり、インド太平洋国家でもあるフランスとの関係を今後一層飛躍させるため、マクロン大統領と緊密に協力できることを楽しみにしています。フランスとは、Ｇ７そして国際場裏における協力も強化してまいりたいと思,显示更多,296,"3,498",4.9万,https://x.com/takaichi_sanae/status/1985620062963974432/analytics,175万,https://pbs.twimg.com/profile_images/1550535324501164032/0lTW_4tj_normal.jpg,,·,2025/10/21,J’adresse mes chaleureuses félicitations à,@EmmanuelMacron,引用,,,,,https://x.com/EmmanuelMacron/status/1980638157411619245,,,,,,,,,,,,,,,,,,,,,,,,,,
