threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),highlight,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,threadview_response_body_link (3)
"垢版
|
0011 名無しどんぶらこ 2025/11/27(木) 22:57:57.60",まぁ、選挙までの繋ぎ政権やな,,,,,,ID:k4E6LLah0,,,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/27(木) 22:58:05.91",高市は国民舐めてるんだよ,,,,,6,ID:lw0KeLDL0,,,,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/27(木) 22:58:16.66",うおおおおこれは高市さん支持！！！,,,,,,ID:DO2yK3En0,,,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/27(木) 22:58:18.52","2025.10.4
【高市早苗新総裁】就任会見で「自公連立が基本中の基本です」 ★2
https://asahi.5ch.ne.../newsplus/1759578386

　 ↑
ただの親中派（親台親韓反日ニヤニヤ似非保守リアル左翼偽日本人嘘吐きサイコパス安倍鳩山菅じじ石破のコピー反米ヘラヘラ事大主義トカゲ婆ぁスパイ外人）じゃなきゃこんなこと言わないよな

（第二アベ党維新/ミン酢社共小池木原立花元彦泉房穂山本石丸神谷朝鮮外人参政党/百田新党/玉木糞党と連立でも同じだけど）",https://asahi.5ch.net/test/read.cgi/newsplus/1759578386,https://asahi.5ch.ne.../newsplus/1759578386,,,,ID:FG5v4JE10(2/4),,,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/27(木) 22:58:26.41","ガチ詳しい人に聞きたいんだけど、
北斗の拳に例えると今どの辺？",,,,,,ID:9EL/qaOR0,1,,,,,
"垢版
|
0016 名無しどんぶらこ 2025/11/27(木) 22:58:47.40",誰を守ってるんだ,,,,,,ID:3MAXBg7M0,1,,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/27(木) 22:58:57.06",">>12
間違い　国民
正解　　パヨク",,>>12,,,,ID:faVxQwpM0(2/43),,,,,,
"垢版
|
0018 名無しどんぶらこ 2025/11/27(木) 22:59:20.45",">>1
現代のナチス中国共産党「発言を撤回しろ！」
立憲民主党「発言を撤回しろ！」
日本共産党「発言を撤回しろ！」

第三次世界大戦を企てる現代のヒトラー習近平に三跪九叩頭の礼をしてしまう売国政党が有るんですけどwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww",,>>1,,,,ID:Itm/d3090,,,,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/27(木) 22:59:34.59",んじゃ調査の意味無くね？,,,,,,ID:JoelE1kd0(2/9),,,,,,
"垢版
|
0020 名無しどんぶらこ 2025/11/27(木) 22:59:37.41",自民党の坂井学・前国家公安委員長（衆院神奈川5区）が代表を務める政党支部が、公安委員長在任期間を含む2022〜24年に、パチンコ店を運営する2社から計120万円の寄付を受けていたことが、政治資金収支報告書から判明した。これとは別に、登記上は現存しない「幽霊会社」から96万円の寄付を受け取っていた記載もある。,,,,,,ID:MuhKIG000(1/2),,,,,,
"垢版
|
0021 名無しどんぶらこ 2025/11/27(木) 22:59:52.87","こんなこと言う人間だったんや
がっかり",,,,,,ID:UtQYiozk0,1,,,,,
"垢版
|
0022 名無しどんぶらこ 2025/11/27(木) 23:00:00.26","パヨクはさ
国民が裏金なんて興味あると思ってるの？",,,,,,ID:faVxQwpM0(3/43),1,,,,,
"垢版
|
0023 名無しどんぶらこ 2025/11/27(木) 23:00:15.69",裏壺仕草(ﾟ∀ﾟ)ｷﾀｺﾚ!!,,,,,,ID:SvHfJPwg0,,,,,,
"垢版
|
0024 名無しどんぶらこ 2025/11/27(木) 23:00:20.54","【悲報】ひろゆき、ガチで名誉毀損罪で逮捕されそう...立花孝志と一緒になってデマ流してた模様
2025.10.13　/poverty/1762976502

>>1
>立花容疑者の情報の入手ルートや情報の信用性が、今後の捜査のポイントになる

つまりアベトモ立花孝志やひろゆき（←朝鮮人でこの名前ｗ）の情報の入手ルートや情報の信用性が確認できなければ、実刑だな

というかその前に、最初に自殺したとされる渡瀬康英県民局長の告発内容や、それへの斎藤元彦や取り巻きの言い分の真実性だろ",,>>1,,,,ID:FG5v4JE10(3/4),1,,,,,
"垢版
|
0025 名無しどんぶらこ 2025/11/27(木) 23:00:27.65","こんなへ理屈言う総理
許してはならない",,,,,,ID:H3F3H9Yw0(1/2),1,,,,,
"垢版
|
0026 名無しどんぶらこ 2025/11/27(木) 23:00:32.28",">>21
パヨクは何言っても文句だろ",,>>21,,,,ID:faVxQwpM0(4/43),,,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/27(木) 23:00:44.42",さすが反日政党だわ,,,,,,ID:nG1ClLXD0,,,,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/27(木) 23:00:48.53",">>25
よく言った！
パヨクは悔しいのう（笑）",,>>25,,,,ID:faVxQwpM0(5/43),1,,,,,
"垢版
|
0029 名無しどんぶらこ 2025/11/27(木) 23:00:54.33",糞ワロタ,,,,,,ID:BAQEU4B90,,,,,,
"垢版
|
0030 名無しどんぶらこ 2025/11/27(木) 23:01:24.56",全員高市みたく企業献金もパーティーもやらんと個人献金だけでほぼやるのも厳しいしな,,,,,,ID:5ee0TfA30,,,,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/27(木) 23:01:35.26",そんなことよりも国旗損壊罪の方が大事だろ,,,,,,ID:tb6LNB130,,,,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/27(木) 23:01:35.37",">>1
高市「出す……！出すが……今回　まだ　その時と場所の指定まではしていない　そのことを　どうか諸君らも思い出していただきたい」

高市「つまり…我々がその気になれば調査結果の受け渡しは１０年後２０年後ということも可能だろう………ということ…！」",,>>1,,,,ID:6ES1RWwZ0,1,,,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/27(木) 23:01:41.00",えなりさなえ「そんなこと言ったってしょうがないじゃない」,,,,,,ID:aNdLAVMk0,,,,,,
"垢版
|
0034 名無しどんぶらこ 2025/11/27(木) 23:01:42.93",">>28
高市含めネトウヨには常識がない
クズ人間",,>>28,,,,ID:H3F3H9Yw0(2/2),1,,,,,
"垢版
|
0035 名無しどんぶらこ 2025/11/27(木) 23:01:46.19",さすが安倍直伝の屁理屈だわ,,,,,,ID:0OyFZjc50,,,,,,
"垢版
|
0036 名無しどんぶらこ 2025/11/27(木) 23:01:49.54",">>12
政治家になるような気の強い女なんてみんなこんなもんだろw",,>>12,,,,ID:wwzSyyHL0,,,,,,
"垢版
|
0037 名無しどんぶらこ 2025/11/27(木) 23:02:07.91",">>24 動画
https://video.twimg....s4swGaH9WlBAGoAi.mp4",https://video.twimg.com/amplify_video/1988245647523540993/vid/avc1/1280x720/s4swGaH9WlBAGoAi.mp4,https://video.twimg....s4swGaH9WlBAGoAi.mp4,,>>24,,ID:FG5v4JE10(4/4),,,,,,
"垢版
|
0038 名無しどんぶらこ 2025/11/27(木) 23:02:16.93",ここでコマンドーネタ放り込んでくるとは,,,,,,ID:S80wqGCQ0,,,,,,
"垢版
|
0039 名無しどんぶらこ 2025/11/27(木) 23:02:23.57","宿題やりました
でもみせません

馬鹿だろコイツ",,,,,,ID:4axnPeVD0,,,,,,
"垢版
|
0040 名無しどんぶらこ 2025/11/27(木) 23:02:34.52","公表するメリットがないからな
それより自民党の地盤を強固にする方が国益になる",,,,,,ID:Mdq0ryND0(1/3),,,,,,
"垢版
|
0041 名無しどんぶらこ 2025/11/27(木) 23:03:00.50",壺裏金の古き悪しき自民党が戻ってきたな,,,,,,ID:+3cMmEc20(1/2),1,,,,,
"垢版
|
0042 名無しどんぶらこ 2025/11/27(木) 23:03:04.70",脱糞党は野グソでもしてろや,,,,,,ID:HsHY4QGJ0,,,,,,
"垢版
|
0043 名無しどんぶらこ 2025/11/27(木) 23:03:08.44",">>34
おまえみたいな底辺パヨクよりは全然マシやで（笑）",,>>34,,,,ID:faVxQwpM0(6/43),,,,,,
"垢版
|
0044 名無しどんぶらこ 2025/11/27(木) 23:03:08.67",安倍晋三の魂はここに居たか,,,,,,ID:c1SmYhz/0,,,,,,
"垢版
|
0045 名無しどんぶらこ 2025/11/27(木) 23:03:09.92","そんなことよりって


この流れで言ったんか、この老女…
やばすぎだろ
まじで一部の国民感情とか心底どうでもいいんだな",,,,,,ID:avCPidzS0,,,,,,
"垢版
|
0046 名無しどんぶらこ 2025/11/27(木) 23:03:14.89",答弁が総理の器じゃないね,,,,,,ID:3/II1Orh0,,,,,,
"垢版
|
0047 名無しどんぶらこ 2025/11/27(木) 23:03:31.70",プライバシーに配慮して公表できません,,,,,,ID:uor1fb220,,,,,,
"垢版
|
0048 名無しどんぶらこ 2025/11/27(木) 23:03:36.10","やっぱさ、高市じゃだめだと思う。
どの程度進んでるのか進捗％でも持ってくれば良いのに、7753？あーあ",,,,,,ID:JoelE1kd0(3/9),,,,,,
"垢版
|
0049 名無しどんぶらこ 2025/11/27(木) 23:03:48.69",それでも支持するアホ国民,,,,,,ID:ym59Q9PS0(1/3),1,,,,,
"垢版
|
0050 名無しどんぶらこ 2025/11/27(木) 23:03:49.23",なんなんコイツwww,,,,,,ID:umRxEI5H0,,,,,,
"垢版
|
0051 名無しどんぶらこ 2025/11/27(木) 23:04:06.28","自民党議員は自分のしている事が
恥ずかしく無いのか、自分の子供には見せられないね。",,,,,,ID:lPJKTM+C0(1/9),,,,,,
"垢版
|
0052 名無しどんぶらこ 2025/11/27(木) 23:04:27.10",ああそうですか,,,,,,ID:JWFKoyuI0,,,,,,
"垢版
|
0053 名無しどんぶらこ 2025/11/27(木) 23:04:36.21",">>1
公金ちゅーちゅーの原資が裏金だからね
大企業が見返りもなくお金渡したら背任になっちゃうよ

裏金＝公金チューちゅーだから調査できないのよ
だって企業献金の９０％は自民党が得てるんだからな",,>>1,,,,ID:mpEGKYYz0,,,,,,
"垢版
|
0054 名無しどんぶらこ 2025/11/27(木) 23:04:39.37",大人は質問に答えない,,,,,,ID:degnH0VY0,,,,,,
"垢版
|
0055 名無しどんぶらこ 2025/11/27(木) 23:04:44.99","いつまで裏金とか言ってないで
今は台湾有事を憂慮すべきだろ
早く憲法を改正して国難に備えなくては",,,,,,ID:Mdq0ryND0(2/3),,,,,,
"垢版
|
0056 名無しどんぶらこ 2025/11/27(木) 23:04:49.93",エッフェル姉さんのフランス視察レポートはまだですか？,,,,,,ID:9jNy2Vzd0,,,,,,
"垢版
|
0057 名無しどんぶらこ 2025/11/27(木) 23:04:50.90",">>49
お前らパヨクの常識がキチガイっていつ気が付くんだ（笑）",,>>49,,,,ID:faVxQwpM0(7/43),,,,,,
"垢版
|
0058 名無しどんぶらこ 2025/11/27(木) 23:05:00.70","旧統一教会と安倍の関係を調査しない自民党
それで納得してるアホ国民",,,,,,ID:ym59Q9PS0(2/3),1,,,,,
"垢版
|
0059 名無しどんぶらこ 2025/11/27(木) 23:05:09.61",">>41
何か忘れられてる感あるけど
とりまき含め完全無欠の裏金壺内閣だからな",,>>41,,,,ID:SdSF5ELh0,,,,,,
"垢版
|
0060 名無しどんぶらこ 2025/11/27(木) 23:05:37.87","高市信者は中国叩きの時しか現れない
こういう都合の悪い事からは逃げてる",,,,,,ID:+pT90ZOU0,1,,,,,
"垢版
|
0061 名無しどんぶらこ 2025/11/27(木) 23:05:46.22","そんなことよりセックスしようぜ
で誤魔化せるのは自民議員内だけだろ",,,,,,ID:kmsZnBZG0(1/2),,,,,,
"垢版
|
0062 名無しどんぶらこ 2025/11/27(木) 23:06:02.25","次回の選挙では自民大敗するから楽しみに待っていてね。
裏金問題解決していない。
比例区は公明に持っていかれたまま。
小選挙区でも選挙協力のなくなった公明にだいぶ持っていかれる。
勝てる要素ないでしょ。
つぎは立民と公明の連立政権。たのしみー",,,,,,ID:vF/goIJE0(1/2),,,,,,
"垢版
|
0063 名無しどんぶらこ 2025/11/27(木) 23:06:15.02",">>58
そろそろ気が付けよ
お前らパヨク以外は誰も興味ないって",,>>58,,,,ID:faVxQwpM0(8/43),,,,,,
"垢版
|
0064 名無しどんぶらこ 2025/11/27(木) 23:06:23.71","とことん
バブル脳",,,,,,ID:kmsZnBZG0(2/2),,,,,,
"垢版
|
0065 名無しどんぶらこ 2025/11/27(木) 23:06:29.42",">>15
ちっ",,>>15,,,,ID:EOpGuc+i0,,,,,,
"垢版
|
0066 名無しどんぶらこ 2025/11/27(木) 23:06:39.36",">>60
バカパヨクしか興味ないからだよ",,>>60,,,,ID:faVxQwpM0(9/43),,,,,,
"垢版
|
0067 名無しどんぶらこ 2025/11/27(木) 23:06:50.05","答弁の下手さ。
そんな事よりってさ、日常生活でもこんな返し方してんのかね？
殴られるぞw",,,,,,ID:JoelE1kd0(4/9),1,,,,,
"垢版
|
0068 名無しどんぶらこ 2025/11/27(木) 23:07:10.58","維新はロンダリング自民は裏金
定数削減の前にやるべきことがあるだろ",,,,,,ID:NbVR01l30,,,,,,
"垢版
|
0069 名無しどんぶらこ 2025/11/27(木) 23:07:39.23",">>67
お前らパヨクは、ハッキリいってやんないとわからんだろ
バカだから（笑）",,>>67,,,,ID:faVxQwpM0(10/43),1,,,,,
"垢版
|
0070 名無しどんぶらこ 2025/11/27(木) 23:07:50.55",">>12
高市というか自民党やね",,>>12,,,,ID:LBYRFl3R0(1/2),,,,,,
"垢版
|
0071 名無しどんぶらこ 2025/11/27(木) 23:07:57.33","今のところロクなことやってないけどこんなんでも本当に支持率高いの？

いくら多数派工作されてるからって国民バカすぎだろ",,,,,,ID:YDnXGs7J0,2,,,,,
"垢版
|
0072 名無しどんぶらこ 2025/11/27(木) 23:08:12.57",">>69
僕はネトウヨですがなんですか？",,>>69,,,,ID:JoelE1kd0(5/9),2,,,,,
"垢版
|
0073 名無しどんぶらこ 2025/11/27(木) 23:08:16.44",言葉遊びが過ぎる、本音で言えないのかね。,,,,,,ID:lPJKTM+C0(2/9),,,,,,
"垢版
|
0074 名無しどんぶらこ 2025/11/27(木) 23:08:25.23","調査すると約束しましたが
公表するとは約束してません
名言だ
次の総選挙の争点にしよう",,,,,,ID:RS/RuJ4w0(1/20),,,,,,
"垢版
|
0075 名無しどんぶらこ 2025/11/27(木) 23:08:34.92",">>71
お前らパヨクよりは遥かに賢いわ
国民はな",,>>71,,,,ID:faVxQwpM0(11/43),,,,,,
"垢版
|
0076 名無しどんぶらこ 2025/11/27(木) 23:08:39.54","モリカケ
統一教会
裏金

陰謀論が好きなパヨクのバカの一つ覚えワードです",,,,,,ID:Mdq0ryND0(3/3),2,,,,,
"垢版
|
0077 名無しどんぶらこ 2025/11/27(木) 23:08:45.11","要するに結果は公表しませんと
言ってるわけだな",,,,,,ID:Vusqm5J80,,,,,,
"垢版
|
0078 名無しどんぶらこ 2025/11/27(木) 23:08:59.34",国のトップに立つ器ではない,,,,,,ID:pVzqnwl10,,,,,,
"垢版
|
0079 名無しどんぶらこ 2025/11/27(木) 23:09:07.82",">>72
なんだ、億り人くらいはなってるんだろうな
ネトウヨ名乗るならそれくらいになれ",,>>72,,,,ID:faVxQwpM0(12/43),1,,,,,
"垢版
|
0080 名無しどんぶらこ 2025/11/27(木) 23:09:20.73","さすが自民党
解党的出直ししても根っこから腐ってるのは変わらなかった",,,,,,ID:IawwZBwy0,,,,,,
"垢版
|
0081 名無しどんぶらこ 2025/11/27(木) 23:09:33.25",さすが自民党,,,,,,ID:FbsJmVqq0,,,,,,
"垢版
|
0082 名無しどんぶらこ 2025/11/27(木) 23:09:34.15",">>76
一つ(三つ)",,>>76,,,,ID:ODoiZr/D0,,,,,,
"垢版
|
0083 名無しどんぶらこ 2025/11/27(木) 23:09:36.84",調査し誰にも見せず引き出しの中にしまって良いという約束もしてないやろ。,,,,,,ID:JoelE1kd0(6/9),,,,,,
"垢版
|
0084 名無しどんぶらこ 2025/11/27(木) 23:09:53.76","要はしないと
それ以上でもそれ以下でもない",,,,,,ID:o893dJ2g0,,,,,,
"垢版
|
0085 名無しどんぶらこ 2025/11/27(木) 23:09:55.34","調査するとは言ったが公表するとは言ってない
それ調査してないのと同じでは？🤔",,,,,,ID:LBYRFl3R0(2/2),,,,,,
"垢版
|
0086 名無しどんぶらこ 2025/11/27(木) 23:10:01.00",">>76
最低限ここはクリアにしないと話にならない。",,>>76,,,,ID:vF/goIJE0(2/2),,,,,,
"垢版
|
0087 名無しどんぶらこ 2025/11/27(木) 23:10:08.11","名言だ
約束すると言いましたが
実行するとは言ってません
応用がきくね",,,,,,ID:RS/RuJ4w0(2/20),,,,,,
"垢版
|
0088 名無しどんぶらこ 2025/11/27(木) 23:10:09.31",">>72
物価がどうのとかほざいてる時点でお前へ薄気味悪いパヨクだよ
ネトウヨ目指して頑張れ",,>>72,,,,ID:faVxQwpM0(13/43),,,,,,
"垢版
|
0089 名無しどんぶらこ 2025/11/27(木) 23:10:10.86",">>1
は？　寝言すぎるだろ　バ　カ　市　ｗ　ｗ　ｗ",,>>1,,,,ID:iioKxW0z0(1/3),,,,,,
"垢版
|
0090 名無しどんぶらこ 2025/11/27(木) 23:10:30.77","公表しないものを調査しても意味ないだろうよ？
ほんと救いようのないババアですな
喋るほどにボロが出る",,,,,,ID:5NUmt4DB0(1/3),,,,,,
"垢版
|
0091 名無しどんぶらこ 2025/11/27(木) 23:10:43.69",さすがにネトウヨさんでも気付くレベルのヤバさだろこれ、色んな意味で,,,,,,ID:FTATGThO0,1,,,,,
"垢版
|
0092 名無しどんぶらこ 2025/11/27(木) 23:10:44.27",こんなこと言ってるってことは調査自体まともにやってないってことだよ,,,,,,ID:XBnEpEkF0,,,,,,
"垢版
|
0093 名無しどんぶらこ 2025/11/27(木) 23:10:57.92",こいつも詭弁ばかりのクソだな,,,,,,ID:oCnsdcq10,,,,,,
"垢版
|
0094 名無しどんぶらこ 2025/11/27(木) 23:11:01.67","隠蔽できるなら改ざんできる
改ざんできるなら捏造もできる",,,,,,ID:VYkacCex0,,,,,,
"垢版
|
0095 名無しどんぶらこ 2025/11/27(木) 23:11:02.95",以前は自民党を支持していたが流石にもう支持する事は無いね。,,,,,,ID:lPJKTM+C0(3/9),,,,,,
"垢版
|
0096 名無しどんぶらこ 2025/11/27(木) 23:11:05.96",">>1
害虫だろ",,>>1,,,,ID:KdP/f2Cf0(1/2),,,,,,
"垢版
|
0097 名無しどんぶらこ 2025/11/27(木) 23:11:06.21","パヨク虐め飽きたなぁ
バカ過ぎて相手にならんわ",,,,,,ID:faVxQwpM0(14/43),,,,,,
"垢版
|
0098 名無しどんぶらこ 2025/11/27(木) 23:11:11.88",">>79
この高市の答弁、下手くそだと思わないのかい？はぐらかせるにしてももっと良い言い方あるのにな。コレでは火に油を注いでしまう。逆鱗に触れるぞ",,>>79,,,,ID:JoelE1kd0(7/9),2,,,,,
"垢版
|
0099 名無しどんぶらこ 2025/11/27(木) 23:11:29.82",ざまあああああみろ左翼ｗｗｗｗｗ,,,,,,ID:kHA5gT/w0,,,,,,
"垢版
|
0100 名無しどんぶらこ 2025/11/27(木) 23:11:31.99",悔いを改め公表しなさい,,,,,,ID:mKGXqscJ0,,,,,,
"垢版
|
0101 名無しどんぶらこ 2025/11/27(木) 23:11:40.75",笑た。昭和じゃあるまいし、そんなの通るわけがない,,,,,,ID:dogzphY20,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0102 名無しどんぶらこ 2025/11/27(木) 23:11:45.10",はあ？？？？,,,,,,ID:2ovbUS9E0(1/4),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0103 名無しどんぶらこ 2025/11/27(木) 23:11:46.99",きっちょむさんかよ,,,,,,ID:JwAghjFc0(1/2),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0104 名無しどんぶらこ 2025/11/27(木) 23:11:48.29",募ったが募集はしていない安倍さんの後継者だわ,,,,,,ID:PDjCmjfE0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0105 名無しどんぶらこ 2025/11/27(木) 23:11:48.55",">>98
お前らパヨクでも分かるようにするのはこれくらいでないとな",,>>98,,,,ID:faVxQwpM0(15/43),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0106 名無しどんぶらこ 2025/11/27(木) 23:11:50.13","反映しない反省に意味あんのか？？？ｗｗｗｗ
結果を見ないアンケ―トって何かやる意味あんの？ｗｗｗ",,,,,,ID:iioKxW0z0(2/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0107 名無しどんぶらこ 2025/11/27(木) 23:12:00.47","早く辞めてもらわんと
日本がダメになる",,,,,,ID:g3NHvSZV0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0108 名無しどんぶらこ 2025/11/27(木) 23:12:04.13",利根川wwww,,,,,,ID:OS4CDvPA0(1/2),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0109 名無しどんぶらこ 2025/11/27(木) 23:12:09.70","ほーらやっぱり案の定だって自民党だものって感じだわな
って思ったが「そんなことより〜」はかつてない酷さだな",,,,,,ID:LM775I5Z0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0110 名無しどんぶらこ 2025/11/27(木) 23:12:35.29","とんちがきいてらぁーーーー
な？犯罪者集団だろ？",,,,,,ID:JwAghjFc0(2/2),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0111 名無しどんぶらこ 2025/11/27(木) 23:12:38.45","パヨクまーた負けた
お疲れさん",,,,,,ID:F9tXm3tt0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0112 名無しどんぶらこ 2025/11/27(木) 23:12:38.84",？？「意味の無い調査だよ」,,,,,,ID:gW/JA0330,1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0113 名無しどんぶらこ 2025/11/27(木) 23:12:39.07",">>98
で、ネトウヨ目指すつもりになったのか
底辺パヨク",,>>98,,,,ID:faVxQwpM0(16/43),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0114 名無しどんぶらこ 2025/11/27(木) 23:12:42.01",さすが旧安倍派と癒着してるだけあるな,,,,,,ID:D0wVeyYQ0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0115 名無しどんぶらこ 2025/11/27(木) 23:12:44.33",安倍聖帝の劣化版じゃん,,,,,,ID:wEHZu1tG0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0116 名無しどんぶらこ 2025/11/27(木) 23:12:46.13",身を切る改革,,,,,,ID:+J/Nkvuj0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0117 名無しどんぶらこ 2025/11/27(木) 23:12:54.51","調査はするけど結果は公表しない
勿論プライベートでそれやるならそれでもええが公費と公務の時間を使ってやるんやろ？
そんな言い分通るわけないやんけ
どんな環境下で生きてきたんやこの人",,,,,,ID:ZSdSOKWp0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
